POST_API_Id,POST_API_addressTypeId,POST_API_riskId,POST_API_vesselId,POST_API_policyId,POST_API_memberPartyId,POST_API_ownerPartyId,POST_API_brokerPartyId,POST_API_version,POST_API_tradingCertificateTypeId,POST_API_tradingCertificateGroupId,POST_API_tradingCertificateGroupName,POST_API_tradingCertificateGroupCode,POST_API_stateAddressId,POST_API_ownerAddressId,POST_API_brokerAddressId,POST_API_memberAddressId,POST_API_jointAssuredAddressId
414,5,130179,130179,1044648,112673,0,1,2,1,1,null,null,461,463,462,464,465
415,1,130179,130179,1044648,112673,0,1,2,2,1,null,null,466,468,467,469,470
416,2,130179,130179,1044648,112673,0,1,2,3,1,null,null,471,473,472,474,475
417,3,130179,130179,1044648,112673,0,1,2,4,1,null,null,476,478,477,479,480
418,2,130179,130179,1044648,112673,0,1,2,6,1,null,null,481,483,482,484,485
419,5,130179,130179,1044648,112673,0,1,2,7,1,null,null,486,488,487,489,490
420,2,130179,130179,1044648,112673,0,1,2,8,2,null,null,491,493,492,494,495
421,7,130179,130179,1044648,112673,0,1,2,9,2,null,null,496,498,497,499,500
422,1,130179,130179,1044648,112673,0,1,2,10,2,null,null,501,503,502,504,505
423,1,130179,130179,1044648,112673,0,1,2,11,2,null,null,506,508,507,509,510
424,5,130179,130179,1044648,112673,0,1,2,12,3,null,null,511,513,512,514,515
425,6,130179,130179,1044648,112673,0,1,2,13,3,null,null,516,518,517,519,520
426,5,130179,130179,1044648,112673,0,1,2,14,3,null,null,521,523,522,524,525
427,1,130179,130179,1044648,112673,0,1,2,15,3,null,null,526,528,527,529,530
428,3,130179,130179,1044648,112673,0,1,2,16,3,null,null,531,533,532,534,535
429,1,130179,130179,1044648,112673,0,1,2,17,3,null,null,536,538,537,539,540
430,1,130179,130179,1044648,112673,0,1,2,18,3,null,null,541,543,542,544,545
431,6,130179,130179,1044648,112673,0,1,2,19,3,null,null,546,548,547,549,550
432,2,130179,130179,1044648,112673,0,1,2,20,3,null,null,551,553,552,554,555
433,6,130179,130179,1044648,112673,0,1,2,21,3,null,null,556,558,557,559,560
434,1,130179,130179,1044648,112673,0,1,2,22,3,null,null,561,563,562,564,565
435,7,130179,130179,1044648,112673,0,1,2,23,3,null,null,566,568,567,569,570
436,7,130179,130179,1044648,112673,0,1,2,24,4,null,null,571,573,572,574,575
437,4,130179,130179,1044648,112673,0,1,2,25,1,null,null,576,578,577,579,580
438,5,130179,130179,1044648,112673,0,1,2,26,1,null,null,581,583,582,584,585
