SQL_Id,SQL_TypeId,SQL_Reference,SQL_CurrentStatus,SQL_StorageId,SQL_IsRenewal,SQL_IsYacht,SQL_RiskId,SQL_VesselId,SQL_PolicyId,SQL_MemberPartyId,SQL_OwnerPartyId,SQL_BrokerPartyId,SQL_TradingCertificateVersion,SQL_RiskReference,SQL_VesselReference,SQL_PolicyReference,SQL_MemberReference,SQL_MemberType,SQL_MemberName,SQL_OwnerDomicile,SQL_OwnerEmailAddress,SQL_OwnerReference,SQL_OwnerName,SQL_BrokerReference,SQL_BrokerName,SQL_BrokerEmailAddress,SQL_PolicyYear,SQL_EmailAddress,SQL_CurrencyCode,SQL_SignatoryState_Id,SQL_VesselName,SQL_VesselFlag,SQL_VesselType,SQL_VesselTypeName,SQL_PassengerCapacity,SQL_IMONumber,SQL_EngineHorsePower,SQL_TradeMark,SQL_Model,SQL_EngineNo,SQL_TenderReferenceList,SQL_TenderOutboardReferenceList,SQL_DistinctiveNumbersOrLetters,SQL_GrossTonnage,SQL_YearBuilt,SQL_PortOfRegistry,SQL_AddressType_Id,SQL_JointAssuredName,SQL_SourceSystem
89,1,string,DRAFT,string,true,true,0,0,0,0,0,0,1,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,USD,0,string,string,string,string,0,null,string,null,string,string,string,string,string,string,0,string,1,string,UTOM
90,1,string,DRAFT,string,true,true,0,0,0,0,0,0,2,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,USD,0,string,string,string,string,0,null,string,null,string,string,string,string,string,string,0,string,1,string,UTOM
91,9,string,DRAFT,string,true,true,0,0,0,0,0,0,1,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,USD,0,string,string,string,string,0,null,string,null,string,string,string,string,string,string,0,string,1,string,UTOM
92,9,string,DRAFT,string,true,true,0,0,0,0,0,0,2,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,USD,0,string,string,string,string,0,null,string,null,string,string,string,string,string,string,0,string,1,string,UTOM
93,9,string,DRAFT,string,true,true,0,0,0,0,0,0,2,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,USD,0,string,string,string,string,0,null,string,null,string,string,string,string,string,string,0,string,1,string,UTOM
94,11,string,DRAFT,string,true,true,0,0,0,0,0,0,1,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,USD,0,string,string,string,string,0,null,string,null,string,string,string,string,string,string,0,string,6,string,UTOM
96,11,string,DRAFT,string,false,false,0,0,0,0,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,string,6,null,UTOM
97,11,string,DRAFT,string,false,false,0,0,0,0,null,null,1,TEST,null,null,null,null,Test3Member Variation1,null,null,null,null,null,null,null,2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,string,6,null,UTOM
98,11,string,DRAFT,string,false,false,0,0,0,0,null,null,2,TEST,null,null,null,null,Test3Member Variation1,null,null,null,null,null,null,null,2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,string,6,null,UTOM
99,11,string,DRAFT,string,false,false,0,0,0,0,null,null,2,TEST,null,null,null,null,Test3Member Variation1,null,null,null,null,null,null,null,2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,string,6,null,UTOM
