SQL_ApplicationId,API_ApplicationId,SQL_ApplicationReference,API_ApplicationReference,SQL_BrokerId,API_BrokerId,SQL_MemberId,API_MemberId,SQL_MemberReference,API_MemberReference,SQL_MemberName,API_MemberName,SQL_Discriminator,API_ApplicationType,SQL_EmailAddress,API_ApplicationUnderwriterEmail,SQL_PolicyStartDate,API_PolicyStartDate,SQL_PolicyEndDate,API_PolicyEndDate,SQL_IsRenewalApplication,API_IsRenewalApplication,API_ApplicationProductType,API_ApplicationFirstTransaction,API_BrokerReference,API_BrokerName,Test Case Status
76183,76183,1044653,1044653,882,882,44864,44864,73288,73288,AMP Test Broker,AMP Test Broker,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-03-18 12:00:00 +00:00,2021-03-18T12:00:00+00:00,2022-03-18 12:00:00 +00:00,2022-03-18T12:00:00+00:00,false,false,P&I,275131,119,SEALION SHIPPING,Test Case passed
76182,76182,1044652,1044652,780,780,31227,31227,50700,50700,Eleven Yachting Limited,Eleven Yachting Limited,Quote,Quote,Nicola.Kingman@shipownersclub.com,Nicola.Kingman@shipownersclub.com,2021-03-16 12:00:00 +00:00,2021-03-16T12:00:00+00:00,2022-03-16 12:00:00 +00:00,2022-03-16T12:00:00+00:00,false,false,YACHT,275130,104,POST & CO (P & I),Test Case passed
76181,76181,1044651,1044651,639,639,26622,26622,12362,12362,Manuel De Olim Cc,Manuel De Olim Cc,Policy,Policy,Mark.Greenland@shipownersclub.com,Mark.Greenland@shipownersclub.com,2021-02-20 12:00:00 +00:00,2021-02-20T12:00:00+00:00,2022-02-20 12:00:00 +00:00,2022-02-20T12:00:00+00:00,false,true,P&I,275123,1802,MARSH AFRICA,Test Case passed
76179,76179,1044650,1044650,882,882,44905,44905,73329,73329,Rohit Singh,Rohit Singh,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-02-22 12:00:00 +00:00,2021-02-22T12:00:00+00:00,2030-02-28 12:00:00 +00:00,2030-02-28T12:00:00+00:00,false,false,P&I,275107,119,SEALION SHIPPING,Test Case passed
76178,76178,1044649,1044649,780,780,31227,31227,50700,50700,Eleven Yachting Limited,Eleven Yachting Limited,Quote,Quote,Nicola.Kingman@shipownersclub.com,Nicola.Kingman@shipownersclub.com,2021-02-18 12:00:00 +00:00,2021-02-18T12:00:00+00:00,2022-02-18 12:00:00 +00:00,2022-02-18T12:00:00+00:00,false,false,P&I,275106,104,POST & CO (P & I),Test Case passed
76177,76177,1044648,1044648,780,780,44904,44904,73328,73328,Test3Member Variation1,Test3Member Variation1,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-04-01 12:00:00 +00:00,2021-04-01T12:00:00+00:00,2022-04-01 12:00:00 +00:00,2022-04-01T12:00:00+00:00,false,true,YACHT,0,104,POST & CO (P & I),Test Case passed
76175,76175,1044647,1044647,780,780,44904,44904,73328,73328,Test3Member Variation1,Test3Member Variation1,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,2022-01-01 12:00:00 +00:00,2022-01-01T12:00:00+00:00,false,false,YACHT,275085,104,POST & CO (P & I),Test Case passed
76174,76174,1044646,1044646,780,780,44904,44904,73328,73328,Test3Member Variation1,Test3Member Variation1,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-11-08 12:00:00 +00:00,2020-11-08T12:00:00+00:00,2021-04-01 12:00:00 +00:00,2021-04-01T12:00:00+00:00,false,false,YACHT,275083,104,POST & CO (P & I),Test Case passed
76173,76173,1044646,1044646,780,780,44904,44904,73328,73328,Test3Member Variation1,Test3Member Variation1,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2020-11-08 12:00:00 +00:00,2020-11-08T12:00:00+00:00,2021-04-01 12:00:00 +00:00,2021-04-01T12:00:00+00:00,false,false,YACHT,275079,104,POST & CO (P & I),Test Case passed
76172,76172,1044645,1044645,780,780,44903,44903,73327,73327,Test2Member Altered,Test2Member Altered,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,2023-02-01 12:00:00 +00:00,2023-02-01T12:00:00+00:00,false,true,YACHT,0,104,POST & CO (P & I),Test Case passed
