SQL_ApplicationId,SQL_JointAssuredId,API_JointAssuredId,SQL_JointAssuredReference,API_JointAssuredReference,SQL_Party_Id,API_Party_Id,SQL_PartyRoleTypeName,SQL_CrmIdentifier,API_CrmIdentifier,SQL_OrganisationName,API_OrganisationName,SQL_Salutation,API_Salutation,SQL_FirstName,API_FirstName,SQL_MiddleName,API_MiddleName,SQL_LastName,API_LastName,SQL_Name,API_Name,SQL_SearchName,API_SearchName,SQL_EmailAddress,API_EmailAddress,SQL_Telephone,API_Telephone,SQL_Fax,API_Fax,SQL_Address_Id,API_Address_Id,SQL_AddressName,API_AddressName,SQL_Line1,API_Line1,SQL_Line2,API_Line2,SQL_Line3,API_Line3,SQL_City,API_City,SQL_StateOrProvince,API_StateOrProvince,SQL_Country,API_Country,SQL_Postcode,API_Postcode,Status
76149,41903,41903,503716,503716,112667,112667,Joint Assured,C72D1082-1765-48AE-BCCB-6AF1D9D9CE31,c72d1082-1765-48ae-bccb-6af1d9d9ce31,Joint For1044636,Joint For1044636,null,null,null,null,null,null,null,null,Joint For1044636,Joint For1044636,Joint For1044636,Joint For1044636,null,null,null,null,null,null,113082,113082,Joint For1044636 Add name,Joint For1044636 Add name,Joint For1044636 L1,Joint For1044636 L1,Joint For1044636 L2,Joint For1044636 L2,null,null,BHAM,BHAM,null,null,UNITED KINGDOM,UNITED KINGDOM,B37 7 HG,B37 7 HG,Test Case Passed
76161,41903,41903,503716,503716,112667,112667,Joint Assured,C72D1082-1765-48AE-BCCB-6AF1D9D9CE31,c72d1082-1765-48ae-bccb-6af1d9d9ce31,Joint For1044636,Joint For1044636,null,null,null,null,null,null,null,null,Joint For1044636,Joint For1044636,Joint For1044636,Joint For1044636,null,null,null,null,null,null,113082,113082,Joint For1044636 Add name,Joint For1044636 Add name,Joint For1044636 L1,Joint For1044636 L1,Joint For1044636 L2,Joint For1044636 L2,null,null,BHAM,BHAM,null,null,UNITED KINGDOM,UNITED KINGDOM,B37 7 HG,B37 7 HG,Test Case Passed
76148,41902,41902,503715,503715,112664,112664,Joint Assured,5287E2D1-667D-4237-8F7D-55056471909F,5287e2d1-667d-4237-8f7d-55056471909f,Joint For1044635,Joint For1044635,null,null,null,null,null,null,null,null,Joint For1044635,Joint For1044635,Joint For1044635,Joint For1044635,null,null,null,null,null,null,113079,113079,Joint For1044635 add name,Joint For1044635 add name,Joint For1044635 l1,Joint For1044635 l1,Joint For1044635l2,Joint For1044635l2,null,null,bham,bham,null,null,UNITED KINGDOM,UNITED KINGDOM,b37 7hg,b37 7hg,Test Case Passed
76160,41902,41902,503715,503715,112664,112664,Joint Assured,5287E2D1-667D-4237-8F7D-55056471909F,5287e2d1-667d-4237-8f7d-55056471909f,Joint For1044635,Joint For1044635,null,null,null,null,null,null,null,null,Joint For1044635,Joint For1044635,Joint For1044635,Joint For1044635,null,null,null,null,null,null,113079,113079,Joint For1044635 add name,Joint For1044635 add name,Joint For1044635 l1,Joint For1044635 l1,Joint For1044635l2,Joint For1044635l2,null,null,bham,bham,null,null,UNITED KINGDOM,UNITED KINGDOM,b37 7hg,b37 7hg,Test Case Passed
76147,41901,41901,503714,503714,112661,112661,Joint Assured,DBB9C31A-AA3A-46BC-935F-D7DD2913968A,dbb9c31a-aa3a-46bc-935f-d7dd2913968a,Joint For1044634,Joint For1044634,null,null,null,null,null,null,null,null,Joint For1044634,Joint For1044634,Joint For1044634,Joint For1044634,null,null,null,null,null,null,113076,113076,Joint For1044634 add name,Joint For1044634 add name,Joint For1044634 l1,Joint For1044634 l1,Joint For1044634 l2,Joint For1044634 l2,null,null,bham,bham,null,null,UNITED KINGDOM,UNITED KINGDOM,b37 7hg,b37 7hg,Test Case Passed
76159,41901,41901,503714,503714,112661,112661,Joint Assured,DBB9C31A-AA3A-46BC-935F-D7DD2913968A,dbb9c31a-aa3a-46bc-935f-d7dd2913968a,Joint For1044634,Joint For1044634,null,null,null,null,null,null,null,null,Joint For1044634,Joint For1044634,Joint For1044634,Joint For1044634,null,null,null,null,null,null,113076,113076,Joint For1044634 add name,Joint For1044634 add name,Joint For1044634 l1,Joint For1044634 l1,Joint For1044634 l2,Joint For1044634 l2,null,null,bham,bham,null,null,UNITED KINGDOM,UNITED KINGDOM,b37 7hg,b37 7hg,Test Case Passed
76147,41900,41900,503713,503713,112660,112660,Joint Assured,7E6F4E97-E2BD-44E8-84A3-D2702E9C8A15,7e6f4e97-e2bd-44e8-84a3-d2702e9c8a15,Mortgagee For1044634,Mortgagee For1044634,null,null,null,null,null,null,null,null,Mortgagee For1044634,Mortgagee For1044634,Mortgagee For1044634,Mortgagee For1044634,null,null,null,null,null,null,113075,113075,Mortgagee For1044634 add name,Mortgagee For1044634 add name,Mortgagee For1044634 L1,Mortgagee For1044634 L1,Mortgagee For1044634 l2,Mortgagee For1044634 l2,null,null,bham,bham,null,null,UNITED KINGDOM,UNITED KINGDOM,b37 7hg,b37 7hg,Test Case Passed
76159,41900,41900,503713,503713,112660,112660,Joint Assured,7E6F4E97-E2BD-44E8-84A3-D2702E9C8A15,7e6f4e97-e2bd-44e8-84a3-d2702e9c8a15,Mortgagee For1044634,Mortgagee For1044634,null,null,null,null,null,null,null,null,Mortgagee For1044634,Mortgagee For1044634,Mortgagee For1044634,Mortgagee For1044634,null,null,null,null,null,null,113075,113075,Mortgagee For1044634 add name,Mortgagee For1044634 add name,Mortgagee For1044634 L1,Mortgagee For1044634 L1,Mortgagee For1044634 l2,Mortgagee For1044634 l2,null,null,bham,bham,null,null,UNITED KINGDOM,UNITED KINGDOM,b37 7hg,b37 7hg,Test Case Passed
76146,41899,41899,503712,503712,112658,112658,Joint Assured,CE755349-AA88-412B-86AC-864A5B469995,ce755349-aa88-412b-86ac-864a5b469995,Revised Joint For1044633 ,Joint For1044633 ,null,null,null,null,null,null,null,null,Revised Joint For1044633 ,Joint For1044633 ,Revised Joint For1044633 ,Joint For1044633 ,null,null,null,null,null,null,113073,113073,Joint For1044633  Add Name,Joint For1044633  Add Name,Joint For1044633 L1,Joint For1044633 L1,Joint For1044633 L2,Joint For1044633 L2,null,null,bham,bham,null,null,UNITED KINGDOM,UNITED KINGDOM,b37 7hg,b37 7hg,Test Case Failed
76158,41899,41899,503712,503712,112658,112658,Joint Assured,CE755349-AA88-412B-86AC-864A5B469995,ce755349-aa88-412b-86ac-864a5b469995,Revised Joint For1044633 ,Revised Joint For1044633 ,null,null,null,null,null,null,null,null,Revised Joint For1044633 ,Revised Joint For1044633 ,Revised Joint For1044633 ,Revised Joint For1044633 ,null,null,null,null,null,null,113073,113073,Joint For1044633  Add Name,Joint For1044633  Add Name,Joint For1044633 L1,Joint For1044633 L1,Joint For1044633 L2,Joint For1044633 L2,null,null,bham,bham,null,null,UNITED KINGDOM,UNITED KINGDOM,b37 7hg,b37 7hg,Test Case Passed
