SQL_ApplicationId,SQL_MemberAssuredId,API_MemberAssuredId,SQL_MemberReference,API_MemberReference,SQL_Domicile,API_Domicile,SQL_PartyId,API_PartyId,SQL_CrmIdentifier,API_CrmIdentifier,SQL_OrganisationName,API_OrganisationName,SQL_Salutation,API_Salutation,SQL_FirstName,API_FirstName,SQL_MiddleName,API_MiddleName,SQL_LastName,API_LastName,SQL_SearchName,API_SearchName,SQL_EmailAddress,API_EmailAddress,SQL_Telephone,API_Telephone,SQL_Fax,API_Fax,SQL_AddressId,API_AddressId,SQL_Name,API_Name,SQL_Line1,API_Line1,SQL_Line2,API_Line2,SQL_Line3,API_Line3,SQL_City,API_City,SQL_StateOrProvince,API_StateOrProvince,SQL_Country,API_Country,SQL_Postcode,API_Postcode,Test Case Status
76183,44864,44864,73288,73288,AUS,AUS,112392,112392,DB7FBBFF-E75F-EA11-A811-000D3A86A8CF,db7fbbff-e75f-ea11-a811-000d3a86a8cf,AMP Test Broker,AMP Test Broker,null,null,null,null,null,null,null,null,AMP Test Broker,AMP Test Broker,null,null,null,null,null,null,112807,112807,10 Whitechapel,10 Whitechapel,null,null,null,null,null,null,London,London,null,null,AUSTRALIA,UNITED KINGDOM,null,null,Test Case failed
76182,31227,31227,50700,50700,MLT,MLT,30893,30893,482CCE32-2299-E111-916A-001F29E68CCE,482cce32-2299-e111-916a-001f29e68cce,Eleven Yachting Limited,Eleven Yachting Limited,null,null,null,null,null,null,Eleven Yachting Limited,Eleven Yachting Limited,Eleven Yachting Limited,Eleven Yachting Limited,er@capeyachting.com,er@capeyachting.com,null,null,null,null,11038,11038,5/1  Merchants Street,5/1  Merchants Street,null,null,null,null,null,null,Valletta,Valletta,null,null,MALTA,MALTA,VLT 1171,VLT 1171,Test Case Passed
76181,26622,26622,12362,12362,ZAF,ZAF,6396,6396,BD06D5C6-6467-E111-9911-001F29E68CCE,bd06d5c6-6467-e111-9911-001f29e68cce,Manuel De Olim Cc,Manuel De Olim Cc,null,null,Manuel,Manuel,null,null,De Olim,De Olim,Manuel De Olim Cc,Manuel De Olim Cc,moutonkar@marsh-afrs.com,moutonkar@marsh-afrs.com,null,null,null,null,12081,12081,PO Box 395,PO Box 395,null,null,null,null,null,null,Bloubergstrand ,Bloubergstrand ,null,null,SOUTH AFRICA,SOUTH AFRICA,null,null,Test Case Passed
76180,26622,26622,12362,12362,ZAF,ZAF,6396,6396,BD06D5C6-6467-E111-9911-001F29E68CCE,bd06d5c6-6467-e111-9911-001f29e68cce,Manuel De Olim Cc,Manuel De Olim Cc,null,null,Manuel,Manuel,null,null,De Olim,De Olim,Manuel De Olim Cc,Manuel De Olim Cc,moutonkar@marsh-afrs.com,moutonkar@marsh-afrs.com,null,null,null,null,12081,12081,PO Box 395,PO Box 395,null,null,null,null,null,null,Bloubergstrand ,Bloubergstrand ,null,null,SOUTH AFRICA,SOUTH AFRICA,null,null,Test Case Passed
76179,44905,44905,73329,73329,DZA,DZA,112674,112674,540D228F-F0CF-4F16-A478-95D6EE9156F7,540d228f-f0cf-4f16-a478-95d6ee9156f7,Rohit Singh,Rohit Singh,null,null,null,null,null,null,null,null,Rohit Singh,Rohit Singh,null,null,null,null,null,null,113089,113089,Test1,Test1,null,null,null,null,null,null,sydn,sydn,null,null,ALGERIA,AUSTRALIA,null,null,Test Case failed
76178,31227,31227,50700,50700,MLT,MLT,30893,30893,482CCE32-2299-E111-916A-001F29E68CCE,482cce32-2299-e111-916a-001f29e68cce,Eleven Yachting Limited,Eleven Yachting Limited,null,null,null,null,null,null,Eleven Yachting Limited,Eleven Yachting Limited,Eleven Yachting Limited,Eleven Yachting Limited,er@capeyachting.com,er@capeyachting.com,null,null,null,null,11038,11038,5/1  Merchants Street,5/1  Merchants Street,null,null,null,null,null,null,Valletta,Valletta,null,null,MALTA,MALTA,VLT 1171,VLT 1171,Test Case Passed
76177,44904,44904,73328,73328,CHL,CHL,112673,112673,CEAD2B70-7A02-4A4C-BB55-058203B848E0,cead2b70-7a02-4a4c-bb55-058203b848e0,Test3Member Variation1,Test3Member Variation1,null,null,null,null,null,null,null,null,Test3Member Variation1,Test3Member Variation1,null,null,null,null,null,null,113088,113088,Test3Member Created AddName,Test3Member Created AddName,Test3Member Created L1,Test3Member Created L1,Test3Member Created L2,Test3Member Created L2,null,null,Birmingham,Birmingham,Alabama,Alabama,CHILE,UNITED STATES OF AMERICA,54734,54734,Test Case failed
76176,44904,44904,73328,73328,CHL,USA,112673,112673,CEAD2B70-7A02-4A4C-BB55-058203B848E0,cead2b70-7a02-4a4c-bb55-058203b848e0,Test3Member Variation1,Test3Member Created,null,null,null,null,null,null,null,null,Test3Member Variation1,Test3Member Created,null,null,null,null,null,null,113088,113088,Test3Member Created AddName,Test3Member Created AddName,Test3Member Created L1,Test3Member Created L1,Test3Member Created L2,Test3Member Created L2,null,null,Birmingham,Birmingham,Alabama,Alabama,CHILE,UNITED STATES OF AMERICA,54734,54734,Test Case failed
76175,44904,44904,73328,73328,CHL,USA,112673,112673,CEAD2B70-7A02-4A4C-BB55-058203B848E0,cead2b70-7a02-4a4c-bb55-058203b848e0,Test3Member Variation1,Test3Member Created,null,null,null,null,null,null,null,null,Test3Member Variation1,Test3Member Created,null,null,null,null,null,null,113088,113088,Test3Member Created AddName,Test3Member Created AddName,Test3Member Created L1,Test3Member Created L1,Test3Member Created L2,Test3Member Created L2,null,null,Birmingham,Birmingham,Alabama,Alabama,CHILE,UNITED STATES OF AMERICA,54734,54734,Test Case failed
76174,44904,44904,73328,73328,CHL,USA,112673,112673,CEAD2B70-7A02-4A4C-BB55-058203B848E0,cead2b70-7a02-4a4c-bb55-058203b848e0,Test3Member Variation1,Test3Member Created,null,null,null,null,null,null,null,null,Test3Member Variation1,Test3Member Created,null,null,null,null,null,null,113088,113088,Test3Member Created AddName,Test3Member Created AddName,Test3Member Created L1,Test3Member Created L1,Test3Member Created L2,Test3Member Created L2,null,null,Birmingham,Birmingham,Alabama,Alabama,CHILE,UNITED STATES OF AMERICA,54734,54734,Test Case failed
