SQL_ApplicationRiskId,API_ApplicationRiskId,SQL_RiskVesselId,API_RiskVesselId,SQL_RiskReference,API_RiskReference,SQL_MemberId,API_MemberId,SQL_Reference,API_Reference,SQL_OrganisationName,API_OrganisationName,SQL_ApplicationID,API_ApplicationID,SQL_ApplicationReference,API_ApplicationReference,SQL_Discriminator,API_Discriminator,SQL_EmailAddress,API_EmailAddress,SQL_ImoNumber,API_ImoNumber,SQL_VesselName,API_VesselName,SQL_VesselType,API_VesselType,SQL_CallSign,API_CallSign,SQL_GrossTonnage,API_GrossTonnage,SQL_YearBuilt,API_YearBuilt,SQL_FlagCountryCode,API_FlagCountryCode,SQL_FlagCountryName,API_FlagCountryName,SQL_PortOfRegistryCode,API_PortOfRegistryCode,SQL_PortOfRegistryName,API_PortOfRegistryName,SQL_RiskCategoryName,API_RiskCategoryName,SQL_EngineHorsePower,API_EngineHorsePower,SQL_TrademarkEngineModelNumber,API_TrademarkEngineModelNumber,Test Case Status
150823,150823,130179,130179,682637,682637,44904,44904,73328,73328,Test3Member Variation1,Test3Member Created,76174,76174,1044646,1044646,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,3453466,3453466,Test3Policy Risk,Test3Policy Risk,YACHT CHARTER 13+ PAX,YACHT CHARTER 13+ PAX,f56,f56,2500,2500,2012,2012,ITA,ITA,ITALY,ITALY,TRE,TRE,TRIESTE,TRIESTE,YACHTS,YACHTS,null,null,null,null,Test Case failed
150817,150817,130177,130177,682635,682635,44903,44903,73327,73327,Test2Member Altered,Test2Member Altered,76168,76168,1044643,1044643,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,4565541,4565541,Riskfor Test2,Riskfor Test2,YACHT CHARTER 13+ PAX,YACHT CHARTER 13+ PAX,gf54,gf54,2500,2500,2012,2012,ITA,ITA,ITALY,ITALY,TRE,TRE,TRIESTE,TRIESTE,YACHTS,YACHTS,null,null,null,null,Test Case passed
150813,150813,130176,130176,682634,682634,44902,44902,73326,73326,Test1Member Updated,Test1Member Updated,76163,76163,1044640,1044640,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,5435339,5435339,Test1 Policy1Risk,Test1 Policy1Risk,YACHT CHARTER 13+ PAX,YACHT CHARTER 13+ PAX,6467tryhrt,6467tryhrt,2500,2500,2012,2012,ITA,ITA,ITALY,ITALY,TRE,TRE,TRIESTE,TRIESTE,YACHTS,YACHTS,null,null,null,null,Test Case passed
150805,150805,130175,130175,682633,682633,44901,44901,73325,73325,Member for PartyCheck,Member for PartyCheck,76155,76155,1044638,1044638,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,6458716,6458716,RiskFor Party,RiskFor Party,YACHT CHARTER 13+ PAX,YACHT CHARTER 13+ PAX,gy,gy,2500,2500,2012,2012,ITA,ITA,ITALY,ITALY,TRE,TRE,TRIESTE,TRIESTE,YACHTS,YACHTS,null,null,null,null,Test Case passed
150811,150811,130174,130174,682632,682632,44900,44900,73324,73324,Member For1044636,Member For1044636,76161,76161,1044636,1044636,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,5767079,5767079,Risk For1044636,Risk For1044636,YACHT CHARTER 13+ PAX,YACHT CHARTER 13+ PAX,jhvhj,jhvhj,2500,2500,2012,2012,ITA,ITA,ITALY,ITALY,TRE,TRE,TRIESTE,TRIESTE,YACHTS,YACHTS,null,null,null,null,Test Case passed
150810,150810,130173,130173,682631,682631,44899,44899,73323,73323,Member For1044635,Member For1044635,76160,76160,1044635,1044635,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,7587590,7587590,Risk For1044635,Risk For1044635,YACHT CHARTER 13+ PAX,YACHT CHARTER 13+ PAX,gjj,gjj,2500,2500,2012,2012,ITA,ITA,ITALY,ITALY,TRE,TRE,TRIESTE,TRIESTE,YACHTS,YACHTS,null,null,null,null,Test Case passed
150809,150809,130172,130172,682630,682630,44898,44898,73322,73322,Member For1044634,Member For1044634,76159,76159,1044634,1044634,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,6757863,6757863,Risk For1044634,Risk For1044634,YACHT CHARTER 13+ PAX,YACHT CHARTER 13+ PAX,jh,jh,2500,2500,2012,2012,ITA,ITA,ITALY,ITALY,TRE,TRE,TRIESTE,TRIESTE,YACHTS,YACHTS,null,null,null,null,Test Case passed
150808,150808,130171,130171,682629,682629,44897,44897,73321,73321,Member For1044633,Member For1044633,76158,76158,1044633,1044633,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,7987697,7987697,Rsk For1044633,Rsk For1044633,YACHT CHARTER 13+ PAX,YACHT CHARTER 13+ PAX,fgf,fgf,2500,2500,2012,2012,ITA,ITA,ITALY,ITALY,GEN,GEN,GENOA,GENOA,YACHTS,YACHTS,null,null,null,null,Test Case passed
150791,150791,130170,130170,682628,682628,44896,44896,73320,73320,NewMember For1044632,NewMember For1044632,76145,76145,1044632,1044632,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,9790086,9790086,Any NewVessel,Any NewVessel,YACHT CHARTER 13+ PAX,YACHT CHARTER 13+ PAX,67678,67678,2500,2500,2012,2012,ITA,ITA,ITALY,ITALY,TRE,TRE,TRIESTE,TRIESTE,YACHTS,YACHTS,null,null,null,null,Test Case passed
150784,150784,130168,130168,682626,682626,44895,44895,73319,73319,RevisedMember Name1044630,RevisedMember Name1044630,76141,76141,1044630,1044630,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,2353243,2353243,Risk 1 Name1044630,Risk 1 Name1044630,YACHT CHARTER 13+ PAX,YACHT CHARTER 13+ PAX,ttt,ttt,2500,2500,2012,2012,ITA,ITA,ITALY,ITALY,TRE,TRE,TRIESTE,TRIESTE,YACHTS,YACHTS,null,null,null,null,Test Case passed
