SQL_ApplicationId,SQL_Party_Id,API_Party_Id,SQL_PartyRoleTypeName,API_PartyRoleTypeName,SQL_AccociatedPartyId,API_AccociatedPartyId,SQL_CrmIdentifier,API_CrmIdentifier,SQL_OrganisationName,API_OrganisationName,SQL_Salutation,API_Salutation,SQL_FirstName,API_FirstName,SQL_MiddleName,API_MiddleName,SQL_LastName,API_LastName,SQL_Name,API_Name,SQL_SearchName,API_SearchName,SQL_EmailAddress,API_EmailAddress,SQL_Telephone,API_Telephone,SQL_Fax,API_Fax,SQL_Address_Id,API_Address_Id,SQL_AddressName,API_AddressName,SQL_Line1,API_Line1,SQL_Line2,API_Line2,SQL_Line3,API_Line3,SQL_City,API_City,SQL_StateOrProvince,API_StateOrProvince,SQL_Country,API_Country,SQL_Postcode,API_Postcode,Test Case Status
76179,50438,50438,Joint Assured,Joint Assured,191380,191380,D03248BF-4DE7-41A2-A731-EE48525E401E,d03248bf-4de7-41a2-a731-ee48525e401e,A Testar,A Testar,null,null,null,null,null,null,null,null,A Testar,A Testar,A Testar,A Testar,null,null,null,null,null,null,35886,35886,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Test Case is passed
76161,112667,112667,Joint Assured,Joint Assured,191378,191378,C72D1082-1765-48AE-BCCB-6AF1D9D9CE31,c72d1082-1765-48ae-bccb-6af1d9d9ce31,Joint For1044636,Joint For1044636,null,null,null,null,null,null,null,null,Joint For1044636,Joint For1044636,Joint For1044636,Joint For1044636,null,null,null,null,null,null,113082,113082,Joint For1044636 Add name,Joint For1044636 Add name,Joint For1044636 L1,Joint For1044636 L1,Joint For1044636 L2,Joint For1044636 L2,null,null,BHAM,BHAM,null,null,UNITED KINGDOM,UNITED KINGDOM,B37 7 HG,B37 7 HG,Test Case is passed
76161,112666,112666,Mortgagee,Mortgagee,191377,191377,BC9098F8-5623-4BFE-8572-29DF3188A812,bc9098f8-5623-4bfe-8572-29df3188a812,Mortgagee For1044636,Mortgagee For1044636,null,null,null,null,null,null,null,null,Mortgagee For1044636,Mortgagee For1044636,Mortgagee For1044636,Mortgagee For1044636,null,null,null,null,null,null,113081,113081,Mortgagee For1044636 Add name,Mortgagee For1044636 Add name,Mortgagee For1044636 l1,Mortgagee For1044636 l1,Mortgagee For1044636 l2,Mortgagee For1044636 l2,null,null,Bham,Bham,null,null,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test Case is passed
76160,112664,112664,Joint Assured,Joint Assured,191376,191376,5287E2D1-667D-4237-8F7D-55056471909F,5287e2d1-667d-4237-8f7d-55056471909f,Joint For1044635,Joint For1044635,null,null,null,null,null,null,null,null,Joint For1044635,Joint For1044635,Joint For1044635,Joint For1044635,null,null,null,null,null,null,113079,113079,Joint For1044635 add name,Joint For1044635 add name,Joint For1044635 l1,Joint For1044635 l1,Joint For1044635l2,Joint For1044635l2,null,null,bham,bham,null,null,UNITED KINGDOM,UNITED KINGDOM,b37 7hg,b37 7hg,Test Case is passed
76160,112663,112663,Mortgagee,Mortgagee,191375,191375,624347BD-5EB6-4374-92D0-1F4B2A07F354,624347bd-5eb6-4374-92d0-1f4b2a07f354,Mortgagee For1044635,Mortgagee For1044635,null,null,null,null,null,null,null,null,Mortgagee For1044635,Mortgagee For1044635,Mortgagee For1044635,Mortgagee For1044635,null,null,null,null,null,null,113078,113078,Mortgagee For1044635 add name,Mortgagee For1044635 add name,Mortgagee For1044635 l1,Mortgagee For1044635 l1,Mortgagee For1044635 l2,Mortgagee For1044635 l2,null,null,bham,bham,null,null,UNITED KINGDOM,UNITED KINGDOM,b37 7hg,b37 7hg,Test Case is passed
76159,112661,112661,Joint Assured,Joint Assured,191374,191374,DBB9C31A-AA3A-46BC-935F-D7DD2913968A,dbb9c31a-aa3a-46bc-935f-d7dd2913968a,Joint For1044634,Joint For1044634,null,null,null,null,null,null,null,null,Joint For1044634,Joint For1044634,Joint For1044634,Joint For1044634,null,null,null,null,null,null,113076,113076,Joint For1044634 add name,Joint For1044634 add name,Joint For1044634 l1,Joint For1044634 l1,Joint For1044634 l2,Joint For1044634 l2,null,null,bham,bham,null,null,UNITED KINGDOM,UNITED KINGDOM,b37 7hg,b37 7hg,Test Case is passed
76159,112660,112660,Joint Assured,Joint Assured,191373,191373,7E6F4E97-E2BD-44E8-84A3-D2702E9C8A15,7e6f4e97-e2bd-44e8-84a3-d2702e9c8a15,Mortgagee For1044634,Mortgagee For1044634,null,null,null,null,null,null,null,null,Mortgagee For1044634,Mortgagee For1044634,Mortgagee For1044634,Mortgagee For1044634,null,null,null,null,null,null,113075,113075,Mortgagee For1044634 add name,Mortgagee For1044634 add name,Mortgagee For1044634 L1,Mortgagee For1044634 L1,Mortgagee For1044634 l2,Mortgagee For1044634 l2,null,null,bham,bham,null,null,UNITED KINGDOM,UNITED KINGDOM,b37 7hg,b37 7hg,Test Case is passed
76158,112670,112670,Crew Manager,Crew Manager,191379,191379,EABCC666-5B61-414A-A000-BD7580054469,eabcc666-5b61-414a-a000-bd7580054469,Add NewCrewManager,Add NewCrewManager,null,null,null,null,null,null,null,null,Add NewCrewManager,Add NewCrewManager,Add NewCrewManager,Add NewCrewManager,null,null,null,null,null,null,113085,113085,Add NewCrewManager Add Name,Add NewCrewManager Add Name,Add NewCrewManager L1,Add NewCrewManager L1,Add NewCrewManager L2,Add NewCrewManager L2,null,null,BHAM,BHAM,null,null,UNITED KINGDOM,UNITED KINGDOM,B37 7HG,B37 7HG,Test Case is passed
76158,112657,112657,InterestedParty,InterestedParty,191372,191372,A4D83381-6683-485E-898B-7858C43F7FF8,a4d83381-6683-485e-898b-7858c43f7ff8,Mortgagee For1044633,Mortgagee For1044633,null,null,null,null,null,null,null,null,Mortgagee For1044633,Mortgagee For1044633,Mortgagee For1044633,Mortgagee For1044633,null,null,null,null,null,null,113072,113072,Party For1044633  Add Name,Party For1044633  Add Name,Party For1044633 l1,Party For1044633 l1,Party For1044633 l2,Party For1044633 l2,null,null,bham,bham,null,null,UNITED KINGDOM,UNITED KINGDOM,b37 7hg,b37 7hg,Test Case is passed
76158,112658,112658,Joint Assured,Joint Assured,191371,191371,CE755349-AA88-412B-86AC-864A5B469995,ce755349-aa88-412b-86ac-864a5b469995,Revised Joint For1044633 ,Revised Joint For1044633 ,null,null,null,null,null,null,null,null,Revised Joint For1044633 ,Revised Joint For1044633 ,Revised Joint For1044633 ,Revised Joint For1044633 ,null,null,null,null,null,null,113073,113073,Joint For1044633  Add Name,Joint For1044633  Add Name,Joint For1044633 L1,Joint For1044633 L1,Joint For1044633 L2,Joint For1044633 L2,null,null,bham,bham,null,null,UNITED KINGDOM,UNITED KINGDOM,b37 7hg,b37 7hg,Test Case is passed
