SQL_memberId,API_Party_memberId,SQL_memberReference,API_Party_memberReference,SQL_partyId,API_Party_partyId,SQL_crmIdentifier,API_Party_crmIdentifier,SQL_organisationName,API_Party_organisationName,SQL_salutation,API_Party_salutation,SQL_firstName,API_Party_firstName,SQL_middleName,API_Party_middleName,SQL_lastName,API_Party_lastName,SQL_emailAddress,API_Party_emailAddress,SQL_telephone,API_Party_telephone,SQL_fax,API_Party_fax,SQL_AddressId,API_AddressId,SQL_AddressName,API_Party_AddressName,SQL_Line1,API_Party_Line1,SQL_Line2,API_Party_Line2,SQL_Line3,API_Party_Line3,SQL_City,API_Party_City,SQL_StateOrProvince,API_Party_StateOrProvince,SQL_CountryName,API_Party_CountryName,SQL_Postcode,API_Party_Postcode,Status
44905,44905,73329,73329,112674,112674,540D228F-F0CF-4F16-A478-95D6EE9156F7,540D228F-F0CF-4F16-A478-95D6EE9156F7,ROHIT SINGH,ROHIT SINGH,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113089,null,TEST1,TEST1,null,NULL,null,NULL,null,NULL,SYDN,SYDN,null,NULL,AUSTRALIA,AUSTRALIA,NULL,NULL,Test case passed
44904,44904,73328,73328,112673,112673,CEAD2B70-7A02-4A4C-BB55-058203B848E0,CEAD2B70-7A02-4A4C-BB55-058203B848E0,TEST3MEMBER VARIATION1,TEST3MEMBER VARIATION1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113088,null,TEST3MEMBER CREATED ADDNAME,TEST3MEMBER CREATED ADDNAME,TEST3MEMBER CREATED L1,TEST3MEMBER CREATED L1,TEST3MEMBER CREATED L2,TEST3MEMBER CREATED L2,null,NULL,BIRMINGHAM,BIRMINGHAM,Alabama,ALABAMA,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,54734,54734,Test case passed
44903,44903,73327,73327,112672,112672,6A2DEC72-100C-4FFB-A57C-6D1D3F6B5E4F,6A2DEC72-100C-4FFB-A57C-6D1D3F6B5E4F,TEST2MEMBER ALTERED,TEST2MEMBER ALTERED,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113087,null,TEST2MEMBER CREATED ADDNAME,TEST2MEMBER CREATED ADDNAME,TEST2MEMBER CREATED L1,TEST2MEMBER CREATED L1,TEST2MEMBER CREATED L2,TEST2MEMBER CREATED L2,null,NULL,BIRMINGHAM,BIRMINGHAM,Alabama,ALABAMA,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,345443,345443,Test case passed
44902,44902,73326,73326,112671,112671,2CC631CD-630C-4184-89BB-E8FC62CAA581,2CC631CD-630C-4184-89BB-E8FC62CAA581,TEST1MEMBER UPDATED,TEST1MEMBER UPDATED,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113086,null,TEST1MEMBER CREATED ADDNAME,TEST1MEMBER CREATED ADDNAME,TEST1MEMBER CREATED L1,TEST1MEMBER CREATED L1,TEST1MEMBER CREATED L2,TEST1MEMBER CREATED L2,null,NULL,BIRMINGHAM,BIRMINGHAM,Alabama,ALABAMA,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,35342,35342,Test case passed
44901,44901,73325,73325,112668,112668,32C9A59E-CCD5-4128-BC64-32F7556EE12A,32C9A59E-CCD5-4128-BC64-32F7556EE12A,MEMBER FOR PARTYCHECK,MEMBER FOR PARTYCHECK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113083,null,MEMBER FOR PARTYCHECK ADDNAME,MEMBER FOR PARTYCHECK ADDNAME,MEMBER FOR PARTYCHECK L1,MEMBER FOR PARTYCHECK L1,MEMBER FOR PARTYCHECK L2,MEMBER FOR PARTYCHECK L2,null,NULL,BIRMINGHAM,BIRMINGHAM,Alabama,ALABAMA,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,866878,866878,Test case passed
44900,44900,73324,73324,112665,112665,ED5BD587-8C9F-48B4-B67B-0BA96914A6F9,ED5BD587-8C9F-48B4-B67B-0BA96914A6F9,MEMBER FOR1044636,MEMBER FOR1044636,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113080,null,MEMBER FOR1044636 ADD NAME,MEMBER FOR1044636 ADD NAME,MEMBER FOR1044636 L1,MEMBER FOR1044636 L1,MEMBER FOR1044636 L2,MEMBER FOR1044636 L2,null,NULL,BIRMINGHAM,BIRMINGHAM,alabama,ALABAMA,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,87689,87689,Test case passed
44899,44899,73323,73323,112662,112662,CD47BC76-1925-4344-B373-01000D5FDEF5,CD47BC76-1925-4344-B373-01000D5FDEF5,MEMBER FOR1044635,MEMBER FOR1044635,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113077,null,MEMBER FOR1044635 ADD NAME,MEMBER FOR1044635 ADD NAME,MEMBER FOR1044635 L1,MEMBER FOR1044635 L1,MEMBER FOR1044635 L2,MEMBER FOR1044635 L2,null,NULL,BIRMINGHAM,BIRMINGHAM,Alabama,ALABAMA,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,8787,8787,Test case passed
44898,44898,73322,73322,112659,112659,E2970BF6-306B-4FB2-994E-5703C5F4C045,E2970BF6-306B-4FB2-994E-5703C5F4C045,MEMBER FOR1044634,MEMBER FOR1044634,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113074,null,MEMBER FOR1044634 ADD NAME,MEMBER FOR1044634 ADD NAME,MEMBER FOR1044634 L1,MEMBER FOR1044634 L1,MEMBER FOR1044634 L2,MEMBER FOR1044634 L2,null,NULL,BIRMINGHAM,BIRMINGHAM,Alabama,ALABAMA,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,B37 7HG,B37 7HG,Test case passed
44897,44897,73321,73321,112656,112656,7BB66BEA-E484-425F-93E0-CD85F75E7E80,7BB66BEA-E484-425F-93E0-CD85F75E7E80,MEMBER FOR1044633,MEMBER FOR1044633,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113071,null,MEMBER FOR1044633 ADD NAME,MEMBER FOR1044633 ADD NAME,MEMBER FOR1044633 L1,MEMBER FOR1044633 L1,MEMBER FOR1044633 L2,MEMBER FOR1044633 L2,null,NULL,BIRMINGHAM,BIRMINGHAM,Alabama,ALABAMA,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,75778,75778,Test case passed
44896,44896,73320,73320,112655,112655,D2699843-2A67-4E29-984C-1DB4D429497A,D2699843-2A67-4E29-984C-1DB4D429497A,NEWMEMBER FOR1044632,NEWMEMBER FOR1044632,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113070,null,NEWMEMBER FOR1044632 ADD NAME,NEWMEMBER FOR1044632 ADD NAME,NEWMEMBER FOR1044632 L1,NEWMEMBER FOR1044632 L1,NEWMEMBER FOR1044632 L2,NEWMEMBER FOR1044632 L2,null,NULL,BIRMINGHAM,BIRMINGHAM,Alabama,ALABAMA,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,632743,632743,Test case passed
