SQL_ApplicationRiskId,API_ApplicationRiskId,SQL_Id,API_Id,SQL_RiskReference,API_RiskReference,SQL_MemberId,API_MemberId,SQL_MemberReference,API_MemberReference,SQL_MemberName,API_MemberName,SQL_ApplicationId,API_ApplicationId,SQL_ApplicationReference,API_ApplicationReference,SQL_ApplicationType,API_ApplicationType,SQL_EmailAddress,API_EmailAddress,SQL_VesselId,API_VesselId,SQL_ImoNumber,API_ImoNumber,SQL_VesselName,API_VesselName,SQL_VesselType,API_VesselType,SQL_CallSign,API_CallSign,SQL_GrossTonnage,API_GrossTonnage,SQL_YearBuilt,API_YearBuilt,SQL_FlagCountryCode,API_FlagCountryCode,SQL_FlagCountryName,API_FlagCountryName,SQL_PortOfRegistryCode,API_PortOfRegistryCode,SQL_PortOfRegistryName,API_PortOfRegistryName,SQL_RiskCategoryName,API_RiskCategoryName,SQL_EngineHorsePower,API_EngineHorsePower,SQL_TrademarkEngineModelNumber,API_TrademarkEngineModelNumber,Status
150831,150831,94204,94204,73242,73242,26622,26622,12362,12362,Manuel De Olim Cc,Manuel De Olim Cc,76181,76181,1044651,1044651,Policy,Policy,Mark.Greenland@shipownersclub.com,Mark.Greenland@shipownersclub.com,94204,94204,6547440,6547440,Alpha,Alpha,SEINING,SEINING,THIS IS NEW,null,99,99,1973,1973,ZAF,ZAF,SOUTH AFRICA,SOUTH AFRICA,CAP,CAP,CAPE TOWN,CAPE TOWN,FISHING VESSELS,FISHING VESSELS,null,null,null,null,Test Case is failed
150830,150830,94203,94203,59940,59940,26622,26622,12362,12362,Manuel De Olim Cc,Manuel De Olim Cc,76181,76181,1044651,1044651,Policy,Policy,Mark.Greenland@shipownersclub.com,Mark.Greenland@shipownersclub.com,94203,94203,7276969,7276969,Swordfish,Swordfish,LONG LINES,LONG LINES,Imma New Sign,Imma New Sign,77,77,1981,1981,ZAF,ZAF,SOUTH AFRICA,SOUTH AFRICA,DUR,DUR,DURBAN,DURBAN,FISHING VESSELS,FISHING VESSELS,null,null,null,null,Test Case is passed
150829,150829,94203,94203,59940,59940,26622,26622,12362,12362,Manuel De Olim Cc,Manuel De Olim Cc,76180,76180,1044651,1044651,RenewalQuote,Quote,Mark.Greenland@shipownersclub.com,Mark.Greenland@shipownersclub.com,94203,94203,7276969,null,Swordfish,Swordfish,LONG LINES,LONG LINES,Imma New Sign,Imma New Sign,77,77,1981,1981,ZAF,ZAF,SOUTH AFRICA,SOUTH AFRICA,DUR,CAP,DURBAN,CAPE TOWN,FISHING VESSELS,FISHING VESSELS,null,null,null,null,Test Case is failed
150828,150828,94204,94204,73242,73242,26622,26622,12362,12362,Manuel De Olim Cc,Manuel De Olim Cc,76180,76180,1044651,1044651,RenewalQuote,Quote,Mark.Greenland@shipownersclub.com,Mark.Greenland@shipownersclub.com,94204,94204,6547440,6547440,Alpha,Alpha,SEINING,SEINING,THIS IS NEW,null,99,99,1973,1973,ZAF,ZAF,SOUTH AFRICA,SOUTH AFRICA,CAP,CAP,CAPE TOWN,CAPE TOWN,FISHING VESSELS,FISHING VESSELS,null,null,null,null,Test Case is failed
150827,150827,130181,130181,682639,682639,44905,44905,73329,73329,Rohit Singh,Rohit Singh,76179,76179,1044650,1044650,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,130181,130181,null,null,RohitRisk,RohitRisk,FISH FARM VESSELS,FISH FARM VESSELS,12313,12313,200,200,2021,2021,ATA,ATA,ANTARCTICA,ANTARCTICA,AAB,AAB,AABENRAA,AABENRAA,FISHING VESSELS,FISHING VESSELS,null,null,null,123132123,Test Case is failed
150826,150826,130179,130179,682637,682637,44904,44904,73328,73328,Test3Member Variation1,Test3Member Variation1,76177,76177,1044648,1044648,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,130179,130179,3453466,3453466,Test3Policy Risk,Test3Policy Risk,YACHT CHARTER 13+ PAX,YACHT CHARTER 13+ PAX,f56,f56,2500,2500,2012,2012,ITA,ITA,ITALY,ITALY,TRE,TRE,TRIESTE,TRIESTE,YACHTS,YACHTS,null,null,null,null,Test Case is passed
150825,150825,130179,130179,682637,682637,44904,44904,73328,73328,Test3Member Variation1,Test3Member Created,76176,76176,1044648,1044648,RenewalQuote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,130179,130179,3453466,3453466,Test3Policy Risk,Test3Policy Risk,YACHT CHARTER 13+ PAX,YACHT CHARTER 13+ PAX,f56,f56,2500,2500,2012,2012,ITA,ITA,ITALY,ITALY,TRE,TRE,TRIESTE,TRIESTE,YACHTS,YACHTS,null,null,null,null,Test Case is failed
150824,150824,130180,130180,682638,682638,44904,44904,73328,73328,Test3Member Variation1,Test3Member Created,76175,76175,1044647,1044647,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,130180,130180,6565533,6565533,QuoteTest3 Risk,QuoteTest3 Risk,YACHT CHARTER 13+ PAX,YACHT CHARTER 13+ PAX,dfg54,dfg54,2500,2500,2012,2012,ITA,ITA,ITALY,ITALY,TRE,TRE,TRIESTE,TRIESTE,YACHTS,YACHTS,null,null,null,null,Test Case is failed
150823,150823,130179,130179,682637,682637,44904,44904,73328,73328,Test3Member Variation1,Test3Member Created,76174,76174,1044646,1044646,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,130179,130179,3453466,3453466,Test3Policy Risk,Test3Policy Risk,YACHT CHARTER 13+ PAX,YACHT CHARTER 13+ PAX,f56,f56,2500,2500,2012,2012,ITA,ITA,ITALY,ITALY,TRE,TRE,TRIESTE,TRIESTE,YACHTS,YACHTS,null,null,null,null,Test Case is failed
150822,150822,130179,130179,682637,682637,44904,44904,73328,73328,Test3Member Variation1,Test3Member Created,76173,76173,1044646,1044646,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,130179,130179,3453466,3453466,Test3Policy Risk,Test3Policy Risk,YACHT CHARTER 13+ PAX,YACHT CHARTER 13+ PAX,f56,f56,2500,2500,2012,2012,ITA,ITA,ITALY,ITALY,TRE,TRE,TRIESTE,TRIESTE,YACHTS,YACHTS,null,null,null,null,Test Case is failed
150821,150821,130177,130177,682635,682635,44903,44903,73327,73327,Test2Member Altered,Test2Member Altered,76172,76172,1044645,1044645,Policy,Policy,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,130177,130177,4565541,4565541,Riskfor Test2,Riskfor Test2,YACHT CHARTER 13+ PAX,YACHT CHARTER 13+ PAX,gf54,gf54,2500,2500,2012,2012,ITA,ITA,ITALY,ITALY,TRE,TRE,TRIESTE,TRIESTE,YACHTS,YACHTS,null,null,null,null,Test Case is passed
150819,150819,130177,130177,682635,682635,44903,44903,73327,73327,Test2Member Altered,Test2Member Altered,76170,76170,1044645,1044645,RenewalQuote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,130177,130177,4565541,4565541,Riskfor Test2,Riskfor Test2,YACHT CHARTER 13+ PAX,YACHT CHARTER 13+ PAX,gf54,gf54,2500,2500,2012,2012,ITA,ITA,ITALY,ITALY,TRE,TRE,TRIESTE,TRIESTE,YACHTS,YACHTS,null,null,null,null,Test Case is failed
150818,150818,130178,130178,682636,682636,44903,44903,73327,73327,Test2Member Altered,Test2Member Altered,76169,76169,1044644,1044644,Quote,Quote,Janie.Welsh@shipownersclub.com,Janie.Welsh@shipownersclub.com,130178,130178,7657565,7657565,Test2Quote Risk,Test2Quote Risk,YACHT CHARTER 13+ PAX,YACHT CHARTER 13+ PAX,gch45,gch45,2500,2500,2012,2012,ITA,ITA,ITALY,ITALY,TRE,TRE,TRIESTE,TRIESTE,YACHTS,YACHTS,null,null,null,null,Test Case is passed
