API_MemberId,API_MemberReference,API_PartyId,API_CrmIdentifier,API_OrganisationName,API_Salutation,API_FirstName,API_MiddleName,API_LastName,API_EmailAddress,API_Telephone,API_Fax,API_AddressId,API_AddressName,API_Line1,API_Line2,API_Line3,API_City,API_StateOrProvince,API_CountryName,API_Postcode
44905,73329,112674,540D228F-F0CF-4F16-A478-95D6EE9156F7,ROHIT SINGH,null,null,null,null,null,null,null,null,TEST1,NULL,NULL,NULL,SYDN,NULL,AUSTRALIA,NULL
44904,73328,112673,CEAD2B70-7A02-4A4C-BB55-058203B848E0,TEST3MEMBER VARIATION1,null,null,null,null,null,null,null,null,TEST3MEMBER CREATED ADDNAME,TEST3MEMBER CREATED L1,TEST3MEMBER CREATED L2,NULL,BIRMINGHAM,ALABAMA,UNITED STATES OF AMERICA,54734
44903,73327,112672,6A2DEC72-100C-4FFB-A57C-6D1D3F6B5E4F,TEST2MEMBER ALTERED,null,null,null,null,null,null,null,null,TEST2MEMBER CREATED ADDNAME,TEST2MEMBER CREATED L1,TEST2MEMBER CREATED L2,NULL,BIRMINGHAM,ALABAMA,UNITED STATES OF AMERICA,345443
44902,73326,112671,2CC631CD-630C-4184-89BB-E8FC62CAA581,TEST1MEMBER UPDATED,null,null,null,null,null,null,null,null,TEST1MEMBER CREATED ADDNAME,TEST1MEMBER CREATED L1,TEST1MEMBER CREATED L2,NULL,BIRMINGHAM,ALABAMA,UNITED STATES OF AMERICA,35342
44901,73325,112668,32C9A59E-CCD5-4128-BC64-32F7556EE12A,MEMBER FOR PARTYCHECK,null,null,null,null,null,null,null,null,MEMBER FOR PARTYCHECK ADDNAME,MEMBER FOR PARTYCHECK L1,MEMBER FOR PARTYCHECK L2,NULL,BIRMINGHAM,ALABAMA,UNITED STATES OF AMERICA,866878
44900,73324,112665,ED5BD587-8C9F-48B4-B67B-0BA96914A6F9,MEMBER FOR1044636,null,null,null,null,null,null,null,null,MEMBER FOR1044636 ADD NAME,MEMBER FOR1044636 L1,MEMBER FOR1044636 L2,NULL,BIRMINGHAM,ALABAMA,UNITED STATES OF AMERICA,87689
44899,73323,112662,CD47BC76-1925-4344-B373-01000D5FDEF5,MEMBER FOR1044635,null,null,null,null,null,null,null,null,MEMBER FOR1044635 ADD NAME,MEMBER FOR1044635 L1,MEMBER FOR1044635 L2,NULL,BIRMINGHAM,ALABAMA,UNITED STATES OF AMERICA,8787
44898,73322,112659,E2970BF6-306B-4FB2-994E-5703C5F4C045,MEMBER FOR1044634,null,null,null,null,null,null,null,null,MEMBER FOR1044634 ADD NAME,MEMBER FOR1044634 L1,MEMBER FOR1044634 L2,NULL,BIRMINGHAM,ALABAMA,UNITED STATES OF AMERICA,B37 7HG
44897,73321,112656,7BB66BEA-E484-425F-93E0-CD85F75E7E80,MEMBER FOR1044633,null,null,null,null,null,null,null,null,MEMBER FOR1044633 ADD NAME,MEMBER FOR1044633 L1,MEMBER FOR1044633 L2,NULL,BIRMINGHAM,ALABAMA,UNITED STATES OF AMERICA,75778
44896,73320,112655,D2699843-2A67-4E29-984C-1DB4D429497A,NEWMEMBER FOR1044632,null,null,null,null,null,null,null,null,NEWMEMBER FOR1044632 ADD NAME,NEWMEMBER FOR1044632 L1,NEWMEMBER FOR1044632 L2,NULL,BIRMINGHAM,ALABAMA,UNITED STATES OF AMERICA,632743
44895,73319,112654,FD951E27-7E32-4A5B-8E56-78B4EA459007,REVISEDMEMBER NAME1044630,null,null,null,null,null,null,null,null,STARTMEMBER NAME1044630 ADDNAME,STARTMEMBER NAME1044630 L1,STARTMEMBER NAME1044630 L2,NULL,BIRMINGHAM,ALABAMA,UNITED STATES OF AMERICA,2134342
44894,73318,112652,6E0367F3-6D15-4687-94C3-D7771E456BCC,UPDATED MEMBER NAME,null,null,null,null,null,null,null,null,MEMBER FORMTARENEWALS ADDNAME,MEMBER FORMTARENEWALS L1,MEMBER FORMTARENEWALS L2,NULL,BIRMINGHAM,NULL,UNITED KINGDOM,B37 7HG
44893,73317,112649,3BAD2FF4-2870-441B-B986-6242C959E930,MEMBERFOR RENEWALONE,null,null,null,null,null,null,null,null,MEMBERFOR RENEWALONE ADDNAME,MEMBERFOR RENEWALONE L1,MEMBERFOR RENEWALONE L2,NULL,BIRMINGHAM,NULL,UNITED KINGDOM,B37 7HG
44892,73316,112645,5271874F-2CCC-41B0-B735-DEB5F7E5E4DE,MEMBER FOR1044616 ,null,null,null,null,null,null,null,null,MEMBER FOR1044616  ADDNAME,MEMBER FOR1044616 L1,MEMBER FOR1044616 L2,NULL,BIRMINGHAM,NULL,UNITED KINGDOM,B37 7HG
44891,73315,112644,D270456E-3B1F-4736-8900-838BAB8E7A6C,MEMBER FOR1044615,null,null,null,null,a.o.com,+44558855226,+44552211885,null,MEMBER FOR1044615ADDNAME,MEMBER FOR1044615 L1`,MEMBER FOR1044615 L2,NULL,BIRMINGHAM,NULL,UNITED KINGDOM,B37 7HG
44890,73314,112642,E1162E2B-5634-4EE4-BBCF-5DD5B79329B6,MEMBER FOR1044614,null,null,null,null,null,null,null,null,MEMBER FOR1044614 ADDNAME,MEMBER FOR1044614 L1,MEMBER FOR1044614 L2,NULL,BIRMINGHAM,NULL,UNITED KINGDOM,B37 7HG
44889,73313,112640,810FBFEB-BF0D-4C04-9351-E768C52EE5A0,MEMBER FOR1044613,null,null,null,null,null,null,null,null,MEMBER FOR1044613 ADDNAME,MEMBER FOR1044613 L1,MEMBER FOR1044613 L2,NULL,BIRMINHAM,NULL,UNITED KINGDOM,B37 7HG
44888,73312,112634,E99DF00E-315B-4554-909A-233673A06432,MEMBER FOR155071,null,null,null,null,null,null,null,null,MEMBER FOR155071 ADDNAME,MEMBER FOR155071 L1,MEMBER FOR155071 L2,NULL,BHAM,NULL,UNITED KINGDOM,B37 7HG
44887,73311,112632,DD5458C0-A762-4655-98BF-C29866FB8B02,PAULSNEWMEMBER,null,null,null,null,null,null,null,null,3,NULL,NULL,NULL,A PLACE,NULL,AFGHANISTAN,NULL
44886,73310,112630,0264486D-1CBE-4D7E-978F-65FE276542CB,PAUL PRODUCTIONS,null,null,null,null,null,087843875785474539,null,null,23 RAINBOW DRIVE,SOMEWHERE,OVER THE,RAINBOW,NOAH CITY,NOAH STATE,ISRAEL,NH
44885,73309,112629,9CB6267D-53A5-4A8B-A70B-73DF34761F90,BOB,null,null,null,null,null,null,null,null,23,NULL,NULL,NULL,BIRMINGHAM,NULL,ALGERIA,NULL
44884,73308,112626,05D73F48-FC40-40C3-9606-FB0464EB4D0A,FIRSTUPDATE MEMBER,null,null,null,null,null,null,null,null,ORIGINALNAME MEMBER ADD NAME,ORIGINALNAME MEMBER L1,ORIGINALNAME MEMBER L2,NULL,BIRMINGHAM,ALABAMA,UNITED STATES OF AMERICA,565464
44883,73307,112623,BA8569C0-F2C7-4704-99F0-49054C51CCF2,NEWMEMBER FOR155070,null,null,null,null,null,null,null,null,NEWMEMBER FOR155070 ADD NAME,NEWMEMBER FOR155070 L1,NEWMEMBER FOR155070 L2,NULL,BHAM,ALABAMA,UNITED STATES OF AMERICA,324554
44882,73306,112622,620D0B0D-ED19-43F6-8141-5DACD4307C5F,NEWMEMBER FORAPI,null,null,null,null,null,null,null,null,NEWMEMBER FORAPI ADDNAME,NEWMEMBER FORAPI L1,NEWMEMBER FORAPI L2,NULL,BHAM,NULL,UNITED KINGDOM,B37 7HG
44881,73305,112620,D1782C2F-4877-4C8E-B317-17E15AA48079,NEW MEMBERFINAL,null,null,null,null,null,null,null,null,NEW MEMBERWORK ADD NAME,NEW MEMBERWORK L1,NEW MEMBERWORK L2,NULL,BHAM,NULL,UNITED KINGDOM,B37 7HG
44880,73304,112618,02F16FF0-9987-4B6E-84CE-5E022CD3BD29,NEW4 SAFETY,null,null,null,null,null,null,null,null,NEW4 SAFETY ADD NAME,NEW4 SAFETY L1,NEW4 SAFETY L2,NULL,BHAM,NULL,UNITED KINGDOM,B37 7HG
44879,73303,112616,5D880F95-44FE-461E-BC1F-ABB80AD6E839,DAY0_MEMBERBYREF,null,null,null,null,daywise@memberbyref.com,+19839829829,null,null,LPK 201,E STREET,GRETA ROAD,EASTERN SITE,NY,NYC,UNITED STATES OF AMERICA,9029
44878,73302,112614,5DB82152-590B-41F0-92FB-33DF77097668,DAY3_MEMBER,null,null,null,null,day0@day0.com,900000000,800000000,null,DAY0_ADDRESSNAME,DAY0_LINE1,DAY0_LINE2,DAY0_LINE3,DAY0_CITY,DAY0_STATE,INDIA,100000
44877,73301,112613,CB62B85D-EC5E-4330-A182-F042A8E75AC6,NORISKMEMBER,null,null,null,null,NoRiskMember@NoRiskMember.com,908765789,908765789,null,NORISKMEMBERADDRESS,NORISKMEMBERL1,NORISKMEMBERL2,NORISKMEMBERL3,NORISKMEMBERCITY,NORISKMEMBERSTATE,UNITED ARAB EMIRATES,87655789
44876,73300,112612,9B330E04-9640-4C4A-B795-4E89E72160B6,DAY3APIMEMBER,null,null,null,null,Day3apimember@api.com,7000000003,8000000003,null,DAY3NAME,DAY3APILINE1,DAY3APILINE2,DAY3APILINE3,DAY3APICITY,DAY3APICOUNTRYSTATE,INDIA,900003
44875,73299,112605,B7D56988-B75A-418B-8DEB-B3C7CA004E3D,MEMBER 07SEPT1150,null,null,null,null,null,null,null,null,MEMBER 07SEPT1150 ADDNAME,MEMBER 07SEPT1150L1,MEMBER 07SEPT1150L2,NULL,LANCASTER,NULL,UNITED KINGDOM,LA1 1LA
