API_ApplicationRiskId,API_Id,API_RiskReference,API_MemberId,API_MemberReference,API_MemberName,API_ApplicationId,API_ApplicationReference,API_ApplicationType,API_EmailAddress,API_VesselId,API_ImoNumber,API_VesselName,API_VesselType,API_CallSign,API_GrossTonnage,API_YearBuilt,API_FlagCountryCode,API_FlagCountryName,API_PortOfRegistryCode,API_PortOfRegistryName,API_RiskCategoryName,API_EngineHorsePower,API_TrademarkEngineModelNumber
150831,94204,73242,26622,12362,Manuel De Olim Cc,76181,1044651,Policy,Mark.Greenland@shipownersclub.com,94204,6547440,Alpha,SEINING,null,99,1973,ZAF,SOUTH AFRICA,CAP,CAPE TOWN,FISHING VESSELS,null,null
150830,94203,59940,26622,12362,Manuel De Olim Cc,76181,1044651,Policy,Mark.Greenland@shipownersclub.com,94203,7276969,Swordfish,LONG LINES,Imma New Sign,77,1981,ZAF,SOUTH AFRICA,DUR,DURBAN,FISHING VESSELS,null,null
150829,94203,59940,26622,12362,Manuel De Olim Cc,76180,1044651,Quote,Mark.Greenland@shipownersclub.com,94203,null,Swordfish,LONG LINES,Imma New Sign,77,1981,ZAF,SOUTH AFRICA,CAP,CAPE TOWN,FISHING VESSELS,null,null
150828,94204,73242,26622,12362,Manuel De Olim Cc,76180,1044651,Quote,Mark.Greenland@shipownersclub.com,94204,6547440,Alpha,SEINING,null,99,1973,ZAF,SOUTH AFRICA,CAP,CAPE TOWN,FISHING VESSELS,null,null
150827,130181,682639,44905,73329,Rohit Singh,76179,1044650,Quote,Janie.Welsh@shipownersclub.com,130181,null,RohitRisk,FISH FARM VESSELS,12313,200,2021,ATA,ANTARCTICA,AAB,AABENRAA,FISHING VESSELS,null,123132123
150826,130179,682637,44904,73328,Test3Member Variation1,76177,1044648,Policy,Janie.Welsh@shipownersclub.com,130179,3453466,Test3Policy Risk,YACHT CHARTER 13+ PAX,f56,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150825,130179,682637,44904,73328,Test3Member Created,76176,1044648,Quote,Janie.Welsh@shipownersclub.com,130179,3453466,Test3Policy Risk,YACHT CHARTER 13+ PAX,f56,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150824,130180,682638,44904,73328,Test3Member Created,76175,1044647,Quote,Janie.Welsh@shipownersclub.com,130180,6565533,QuoteTest3 Risk,YACHT CHARTER 13+ PAX,dfg54,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150823,130179,682637,44904,73328,Test3Member Created,76174,1044646,Policy,Janie.Welsh@shipownersclub.com,130179,3453466,Test3Policy Risk,YACHT CHARTER 13+ PAX,f56,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150822,130179,682637,44904,73328,Test3Member Created,76173,1044646,Quote,Janie.Welsh@shipownersclub.com,130179,3453466,Test3Policy Risk,YACHT CHARTER 13+ PAX,f56,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150821,130177,682635,44903,73327,Test2Member Altered,76172,1044645,Policy,Janie.Welsh@shipownersclub.com,130177,4565541,Riskfor Test2,YACHT CHARTER 13+ PAX,gf54,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150819,130177,682635,44903,73327,Test2Member Altered,76170,1044645,Quote,Janie.Welsh@shipownersclub.com,130177,4565541,Riskfor Test2,YACHT CHARTER 13+ PAX,gf54,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150818,130178,682636,44903,73327,Test2Member Altered,76169,1044644,Quote,Janie.Welsh@shipownersclub.com,130178,7657565,Test2Quote Risk,YACHT CHARTER 13+ PAX,gch45,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
