API_ApplicationId,API_Party_Id,API_PartyRoleTypeName,API_AccociatedPartyId,API_CrmIdentifier,API_OrganisationName,API_Salutation,API_FirstName,API_MiddleName,API_LastName,API_Name,API_SearchName,API_EmailAddress,API_Telephone,API_Fax,API_Address_Id,API_AddressName,API_Line1,API_Line2,API_Line3,API_City,API_StateOrProvince,API_Country,API_Postcode
76179,50438,Joint Assured,191380,d03248bf-4de7-41a2-a731-ee48525e401e,A Testar,null,null,null,null,A Testar,A Testar,null,null,null,35886,null,null,null,null,null,null,null,null
76161,112667,Joint Assured,191378,c72d1082-1765-48ae-bccb-6af1d9d9ce31,Joint For1044636,null,null,null,null,Joint For1044636,Joint For1044636,null,null,null,113082,Joint For1044636 Add name,Joint For1044636 L1,Joint For1044636 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76161,112666,Mortgagee,191377,bc9098f8-5623-4bfe-8572-29df3188a812,Mortgagee For1044636,null,null,null,null,Mortgagee For1044636,Mortgagee For1044636,null,null,null,113081,Mortgagee For1044636 Add name,Mortgagee For1044636 l1,Mortgagee For1044636 l2,null,Bham,null,UNITED KINGDOM,B37 7HG
76160,112664,Joint Assured,191376,5287e2d1-667d-4237-8f7d-55056471909f,Joint For1044635,null,null,null,null,Joint For1044635,Joint For1044635,null,null,null,113079,Joint For1044635 add name,Joint For1044635 l1,Joint For1044635l2,null,bham,null,UNITED KINGDOM,b37 7hg
76160,112663,Mortgagee,191375,624347bd-5eb6-4374-92d0-1f4b2a07f354,Mortgagee For1044635,null,null,null,null,Mortgagee For1044635,Mortgagee For1044635,null,null,null,113078,Mortgagee For1044635 add name,Mortgagee For1044635 l1,Mortgagee For1044635 l2,null,bham,null,UNITED KINGDOM,b37 7hg
76159,112661,Joint Assured,191374,dbb9c31a-aa3a-46bc-935f-d7dd2913968a,Joint For1044634,null,null,null,null,Joint For1044634,Joint For1044634,null,null,null,113076,Joint For1044634 add name,Joint For1044634 l1,Joint For1044634 l2,null,bham,null,UNITED KINGDOM,b37 7hg
76159,112660,Joint Assured,191373,7e6f4e97-e2bd-44e8-84a3-d2702e9c8a15,Mortgagee For1044634,null,null,null,null,Mortgagee For1044634,Mortgagee For1044634,null,null,null,113075,Mortgagee For1044634 add name,Mortgagee For1044634 L1,Mortgagee For1044634 l2,null,bham,null,UNITED KINGDOM,b37 7hg
76158,112670,Crew Manager,191379,eabcc666-5b61-414a-a000-bd7580054469,Add NewCrewManager,null,null,null,null,Add NewCrewManager,Add NewCrewManager,null,null,null,113085,Add NewCrewManager Add Name,Add NewCrewManager L1,Add NewCrewManager L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76158,112657,InterestedParty,191372,a4d83381-6683-485e-898b-7858c43f7ff8,Mortgagee For1044633,null,null,null,null,Mortgagee For1044633,Mortgagee For1044633,null,null,null,113072,Party For1044633  Add Name,Party For1044633 l1,Party For1044633 l2,null,bham,null,UNITED KINGDOM,b37 7hg
76158,112658,Joint Assured,191371,ce755349-aa88-412b-86ac-864a5b469995,Revised Joint For1044633 ,null,null,null,null,Revised Joint For1044633 ,Revised Joint For1044633 ,null,null,null,113073,Joint For1044633  Add Name,Joint For1044633 L1,Joint For1044633 L2,null,bham,null,UNITED KINGDOM,b37 7hg
76157,112669,Mortgagee,191369,2ef7d6d9-d333-4ddc-810c-7f51adeb7ad3,FutureChange Party,null,null,null,null,FutureChange Party,FutureChange Party,null,null,null,113084,OriginalName Party AddName,OriginalName Party L1,OriginalName Party L2,null,BHam,null,UNITED KINGDOM,B37 7HG
76156,112669,Mortgagee,191368,2ef7d6d9-d333-4ddc-810c-7f51adeb7ad3,FirstChange Party,null,null,null,null,FirstChange Party,FirstChange Party,null,null,null,113084,OriginalName Party AddName,OriginalName Party L1,OriginalName Party L2,null,BHam,null,UNITED KINGDOM,B37 7HG
76155,112669,Mortgagee,191367,2ef7d6d9-d333-4ddc-810c-7f51adeb7ad3,FirstChange Party,null,null,null,null,FirstChange Party,FirstChange Party,null,null,null,113084,OriginalName Party AddName,OriginalName Party L1,OriginalName Party L2,null,BHam,null,UNITED KINGDOM,B37 7HG
76154,112669,Mortgagee,191366,2ef7d6d9-d333-4ddc-810c-7f51adeb7ad3,OriginalName Party,null,null,null,null,OriginalName Party,OriginalName Party,null,null,null,113084,OriginalName Party AddName,OriginalName Party L1,OriginalName Party L2,null,BHam,null,UNITED KINGDOM,B37 7HG
76151,112636,Joint Assured,191361,aebe0218-ce6a-4ce0-8d0f-f91d1e3163cd,Party 2 1044606,null,null,null,null,Party 2 1044606,Party 2 1044606,null,null,null,113051,Party 2 1044606 AddName,Party 2 1044606 L1,Party 2 1044606 L2,null,Birmingham,null,UNITED KINGDOM,B37 7HG
76151,112635,Mortgagee,191360,9e20bb91-f60b-4435-9785-c1764a604f25,CHANGED NOW 1044606,null,null,null,null,CHANGED NOW 1044606,CHANGED NOW 1044606,aa@ab.com,+44558877559,+44558866223,113050,Party 1 1044606 AddName,Party 1 1044606 L1,Party 1 1044606 L2,Party 1 1044606 L3,Birmingham,Warks,UNITED KINGDOM,B37 7HG
76150,112636,Joint Assured,191359,aebe0218-ce6a-4ce0-8d0f-f91d1e3163cd,Party 2 1044606,null,null,null,null,Party 2 1044606,Party 2 1044606,null,null,null,113051,Party 2 1044606 AddName,Party 2 1044606 L1,Party 2 1044606 L2,null,Birmingham,null,UNITED KINGDOM,B37 7HG
76150,112635,Mortgagee,191358,9e20bb91-f60b-4435-9785-c1764a604f25,Party 1 1044606,null,null,null,null,Party 1 1044606,Party 1 1044606,aa@ab.com,+44558877559,+44558866223,113050,Party 1 1044606 AddName,Party 1 1044606 L1,Party 1 1044606 L2,Party 1 1044606 L3,Birmingham,Warks,UNITED KINGDOM,B37 7HG
76149,112667,Joint Assured,191357,c72d1082-1765-48ae-bccb-6af1d9d9ce31,Joint For1044636,null,null,null,null,Joint For1044636,Joint For1044636,null,null,null,113082,Joint For1044636 Add name,Joint For1044636 L1,Joint For1044636 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76149,112666,Mortgagee,191356,bc9098f8-5623-4bfe-8572-29df3188a812,Mortgagee For1044636,null,null,null,null,Mortgagee For1044636,Mortgagee For1044636,null,null,null,113081,Mortgagee For1044636 Add name,Mortgagee For1044636 l1,Mortgagee For1044636 l2,null,Bham,null,UNITED KINGDOM,B37 7HG
76148,112664,Joint Assured,191355,5287e2d1-667d-4237-8f7d-55056471909f,Joint For1044635,null,null,null,null,Joint For1044635,Joint For1044635,null,null,null,113079,Joint For1044635 add name,Joint For1044635 l1,Joint For1044635l2,null,bham,null,UNITED KINGDOM,b37 7hg
76148,112663,Mortgagee,191354,624347bd-5eb6-4374-92d0-1f4b2a07f354,Mortgagee For1044635,null,null,null,null,Mortgagee For1044635,Mortgagee For1044635,null,null,null,113078,Mortgagee For1044635 add name,Mortgagee For1044635 l1,Mortgagee For1044635 l2,null,bham,null,UNITED KINGDOM,b37 7hg
76147,112661,Joint Assured,191353,dbb9c31a-aa3a-46bc-935f-d7dd2913968a,Joint For1044634,null,null,null,null,Joint For1044634,Joint For1044634,null,null,null,113076,Joint For1044634 add name,Joint For1044634 l1,Joint For1044634 l2,null,bham,null,UNITED KINGDOM,b37 7hg
76147,112660,Joint Assured,191352,7e6f4e97-e2bd-44e8-84a3-d2702e9c8a15,Mortgagee For1044634,null,null,null,null,Mortgagee For1044634,Mortgagee For1044634,null,null,null,113075,Mortgagee For1044634 add name,Mortgagee For1044634 L1,Mortgagee For1044634 l2,null,bham,null,UNITED KINGDOM,b37 7hg
