API_JointAssuredId,API_JointAssuredReference,API_Party_Id,API_CrmIdentifier,API_OrganisationName,API_Salutation,API_FirstName,API_MiddleName,API_LastName,API_Name,API_SearchName,API_EmailAddress,API_Telephone,API_Fax,API_Address_Id,API_AddressName,API_Line1,API_Line2,API_Line3,API_City,API_StateOrProvince,API_Country,API_Postcode
41903,503716,112667,c72d1082-1765-48ae-bccb-6af1d9d9ce31,Joint For1044636,null,null,null,null,Joint For1044636,Joint For1044636,null,null,null,113082,Joint For1044636 Add name,Joint For1044636 L1,Joint For1044636 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
41903,503716,112667,c72d1082-1765-48ae-bccb-6af1d9d9ce31,Joint For1044636,null,null,null,null,Joint For1044636,Joint For1044636,null,null,null,113082,Joint For1044636 Add name,Joint For1044636 L1,Joint For1044636 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
41902,503715,112664,5287e2d1-667d-4237-8f7d-55056471909f,Joint For1044635,null,null,null,null,Joint For1044635,Joint For1044635,null,null,null,113079,Joint For1044635 add name,Joint For1044635 l1,Joint For1044635l2,null,bham,null,UNITED KINGDOM,b37 7hg
41902,503715,112664,5287e2d1-667d-4237-8f7d-55056471909f,Joint For1044635,null,null,null,null,Joint For1044635,Joint For1044635,null,null,null,113079,Joint For1044635 add name,Joint For1044635 l1,Joint For1044635l2,null,bham,null,UNITED KINGDOM,b37 7hg
41901,503714,112661,dbb9c31a-aa3a-46bc-935f-d7dd2913968a,Joint For1044634,null,null,null,null,Joint For1044634,Joint For1044634,null,null,null,113076,Joint For1044634 add name,Joint For1044634 l1,Joint For1044634 l2,null,bham,null,UNITED KINGDOM,b37 7hg
41901,503714,112661,dbb9c31a-aa3a-46bc-935f-d7dd2913968a,Joint For1044634,null,null,null,null,Joint For1044634,Joint For1044634,null,null,null,113076,Joint For1044634 add name,Joint For1044634 l1,Joint For1044634 l2,null,bham,null,UNITED KINGDOM,b37 7hg
41900,503713,112660,7e6f4e97-e2bd-44e8-84a3-d2702e9c8a15,Mortgagee For1044634,null,null,null,null,Mortgagee For1044634,Mortgagee For1044634,null,null,null,113075,Mortgagee For1044634 add name,Mortgagee For1044634 L1,Mortgagee For1044634 l2,null,bham,null,UNITED KINGDOM,b37 7hg
41900,503713,112660,7e6f4e97-e2bd-44e8-84a3-d2702e9c8a15,Mortgagee For1044634,null,null,null,null,Mortgagee For1044634,Mortgagee For1044634,null,null,null,113075,Mortgagee For1044634 add name,Mortgagee For1044634 L1,Mortgagee For1044634 l2,null,bham,null,UNITED KINGDOM,b37 7hg
41899,503712,112658,ce755349-aa88-412b-86ac-864a5b469995,Joint For1044633 ,null,null,null,null,Joint For1044633 ,Joint For1044633 ,null,null,null,113073,Joint For1044633  Add Name,Joint For1044633 L1,Joint For1044633 L2,null,bham,null,UNITED KINGDOM,b37 7hg
41899,503712,112658,ce755349-aa88-412b-86ac-864a5b469995,Revised Joint For1044633 ,null,null,null,null,Revised Joint For1044633 ,Revised Joint For1044633 ,null,null,null,113073,Joint For1044633  Add Name,Joint For1044633 L1,Joint For1044633 L2,null,bham,null,UNITED KINGDOM,b37 7hg
41898,503711,112635,9e20bb91-f60b-4435-9785-c1764a604f25,Party 1 1044606,null,null,null,null,Party 1 1044606,Party 1 1044606,aa@ab.com,+44558877559,+44558866223,113050,Party 1 1044606 AddName,Party 1 1044606 L1,Party 1 1044606 L2,Party 1 1044606 L3,Birmingham,Warks,UNITED KINGDOM,B37 7HG
41898,503711,112635,9e20bb91-f60b-4435-9785-c1764a604f25,FUTURE 1044606,null,null,null,null,FUTURE 1044606,FUTURE 1044606,aa@ab.com,+44558877559,+44558866223,113050,Party 1 1044606 AddName,Party 1 1044606 L1,Party 1 1044606 L2,Party 1 1044606 L3,Birmingham,Warks,UNITED KINGDOM,B37 7HG
41897,503710,112651,8ae20aec-bed3-4411-a08f-12ecf2a0b4bc,JAParty For1044621,null,null,null,null,JAParty For1044621,JAParty For1044621,null,null,null,113066,JAParty For1044621 AddName,JAParty For1044621L1,JAParty For1044621 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
41897,503710,112651,8ae20aec-bed3-4411-a08f-12ecf2a0b4bc,JAParty For1044621,null,null,null,null,JAParty For1044621,JAParty For1044621,null,null,null,113066,JAParty For1044621 AddName,JAParty For1044621L1,JAParty For1044621 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
41897,503710,112651,8ae20aec-bed3-4411-a08f-12ecf2a0b4bc,JAParty For1044621,null,null,null,null,JAParty For1044621,JAParty For1044621,null,null,null,113066,JAParty For1044621 AddName,JAParty For1044621L1,JAParty For1044621 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
41897,503710,112651,8ae20aec-bed3-4411-a08f-12ecf2a0b4bc,JAParty For1044621,null,null,null,null,JAParty For1044621,JAParty For1044621,null,null,null,113066,JAParty For1044621 AddName,JAParty For1044621L1,JAParty For1044621 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
41896,503709,112646,2825df29-b3ce-4f52-abb7-0d83b09c6d0a,JointParty For1044616,null,null,null,null,JointParty For1044616,JointParty For1044616,o@no.com,+445588669,+44557711225,113061,JointParty For1044616 Add Name,JointParty For1044616 L1,JointParty For1044616 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
41896,503709,112646,2825df29-b3ce-4f52-abb7-0d83b09c6d0a,JointParty For1044616,null,null,null,null,JointParty For1044616,JointParty For1044616,o@no.com,+445588669,+44557711225,113061,JointParty For1044616 Add Name,JointParty For1044616 L1,JointParty For1044616 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
41895,503708,112641,78d5863d-612f-48a1-af6b-137b9ffb4b54,JAParty For1044613,null,null,null,null,JAParty For1044613,JAParty For1044613,null,null,null,113056,JAParty For1044613 AddName,JAParty For1044613 L1,JAParty For1044613 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
41895,503708,112641,78d5863d-612f-48a1-af6b-137b9ffb4b54,JAParty For1044613,null,null,null,null,JAParty For1044613,JAParty For1044613,null,null,null,113056,JAParty For1044613 AddName,JAParty For1044613 L1,JAParty For1044613 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
41895,503708,112641,78d5863d-612f-48a1-af6b-137b9ffb4b54,JAParty For1044613,null,null,null,null,JAParty For1044613,JAParty For1044613,null,null,null,113056,JAParty For1044613 AddName,JAParty For1044613 L1,JAParty For1044613 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
41895,503708,112641,78d5863d-612f-48a1-af6b-137b9ffb4b54,JAParty For1044613,null,null,null,null,JAParty For1044613,JAParty For1044613,null,null,null,113056,JAParty For1044613 AddName,JAParty For1044613 L1,JAParty For1044613 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
41894,503707,112638,d8007716-c858-43b4-a79a-8c19e49fc926,Party For1044611,null,null,null,null,Party For1044611,Party For1044611,null,null,null,113053,Party For1044611 AddName,Party For1044611 L1,Party For1044611 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
41893,503706,112636,aebe0218-ce6a-4ce0-8d0f-f91d1e3163cd,Party 2 1044606,null,null,null,null,Party 2 1044606,Party 2 1044606,null,null,null,113051,Party 2 1044606 AddName,Party 2 1044606 L1,Party 2 1044606 L2,null,Birmingham,null,UNITED KINGDOM,B37 7HG
41893,503706,112636,aebe0218-ce6a-4ce0-8d0f-f91d1e3163cd,Party 2 1044606,null,null,null,null,Party 2 1044606,Party 2 1044606,null,null,null,113051,Party 2 1044606 AddName,Party 2 1044606 L1,Party 2 1044606 L2,null,Birmingham,null,UNITED KINGDOM,B37 7HG
41893,503706,112636,aebe0218-ce6a-4ce0-8d0f-f91d1e3163cd,Party 2 1044606,null,null,null,null,Party 2 1044606,Party 2 1044606,null,null,null,113051,Party 2 1044606 AddName,Party 2 1044606 L1,Party 2 1044606 L2,null,Birmingham,null,UNITED KINGDOM,B37 7HG
41892,503705,112627,2f0b1e49-cfd9-4f52-b16e-3c91dba28aba,Party3 Variety,null,null,null,null,Party3 Variety,Party3 Variety,null,null,null,113042,Party3 Variety Add Name,Party3 Variety L1,Party3 Variety L2,null,Bham,null,UNITED KINGDOM,B37 7 HG
41892,503705,112627,2f0b1e49-cfd9-4f52-b16e-3c91dba28aba,Party3 Variety,null,null,null,null,Party3 Variety,Party3 Variety,null,null,null,113042,Party3 Variety Add Name,Party3 Variety L1,Party3 Variety L2,null,Bham,null,UNITED KINGDOM,B37 7 HG
41891,503704,112624,4941af35-c3a6-4a8e-ade0-72c692e73a8c,NewParty For155070,null,null,null,null,NewParty For155070,NewParty For155070,null,null,null,113039,NewParty For155070 Add Name,NewParty For155070 L1,NewParty For155070 L2,null,BHAM,Alabama,UNITED STATES OF AMERICA,234324
41891,503704,112624,4941af35-c3a6-4a8e-ade0-72c692e73a8c,NewParty For155070,null,null,null,null,NewParty For155070,NewParty For155070,null,null,null,113039,NewParty For155070 Add Name,NewParty For155070 L1,NewParty For155070 L2,null,BHAM,Alabama,UNITED STATES OF AMERICA,234324
41891,503704,112624,4941af35-c3a6-4a8e-ade0-72c692e73a8c,NewParty For155070,null,null,null,null,NewParty For155070,NewParty For155070,null,null,null,113039,NewParty For155070 Add Name,NewParty For155070 L1,NewParty For155070 L2,null,BHAM,Alabama,UNITED STATES OF AMERICA,234324
41891,503704,112624,4941af35-c3a6-4a8e-ade0-72c692e73a8c,NewParty For155070,null,null,null,null,NewParty For155070,NewParty For155070,null,null,null,113039,NewParty For155070 Add Name,NewParty For155070 L1,NewParty For155070 L2,null,BHAM,Alabama,UNITED STATES OF AMERICA,234324
41890,503703,112621,bebf6865-d902-4be3-824d-8c89b0af35a6,JAParty ForTC,null,null,null,null,JAParty ForTC,JAParty ForTC,null,null,null,113036,JAParty ForTC Add Name,JAParty ForTC L1,JAParty ForTC L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
41890,503703,112621,bebf6865-d902-4be3-824d-8c89b0af35a6,JAParty ForTC,null,null,null,null,JAParty ForTC,JAParty ForTC,null,null,null,113036,JAParty ForTC Add Name,JAParty ForTC L1,JAParty ForTC L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
41889,503702,112619,d7aa2eb0-958c-4380-b598-4dc538575756,JOINT P1,null,null,null,null,JOINT P1,JOINT P1,null,null,null,113034,JOINT P1 Add Name,JOINT P1 L1,JOINT P1 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
41888,503701,112617,13d5ed22-82c4-4d42-bd5f-cb475e3ad192,NewJAfor Risk,null,null,null,null,NewJAfor Risk,NewJAfor Risk,null,null,null,113032,NewJAfor Risk AddName,NewJAfor Risk L1,NewJAfor Risk L2,NewJAfor Risk L3,Portsmouth,Devon,UNITED KINGDOM,PO1 1PP
41887,503700,112615,f1a6e552-ff3a-41a3-9b98-465030b91c09,MTAParty,null,null,null,null,MTAParty,MTAParty,day0@party.com,900000001,8000000001,113030,Day0AddressName,Day0Line1,Day0Line2,Day0Line3,Day0City,Day0State,INDIA,100000
41887,503700,112615,f1a6e552-ff3a-41a3-9b98-465030b91c09,MTAParty,null,null,null,null,MTAParty,MTAParty,day0@party.com,900000001,8000000001,113030,Day0AddressName,Day0Line1,Day0Line2,Day0Line3,Day0City,Day0State,INDIA,100000
41886,503699,112611,83d4e659-dc40-472a-b12e-229d42c01a72,null,Dr.,P6,null,JA_Party4,Dr. P6 JA_Party4,P6 JA_Party4,null,null,null,113026,JA_Party4 AddName,JA_Party4 L1,JA_Party4 L2,null,Doncaster,null,UNITED KINGDOM,DN1 1ND
41886,503699,112611,83d4e659-dc40-472a-b12e-229d42c01a72,null,Dr.,P6,null,JA_Party4,Dr. P6 JA_Party4,P6 JA_Party4,null,null,null,113026,JA_Party4 AddName,JA_Party4 L1,JA_Party4 L2,null,Doncaster,null,UNITED KINGDOM,DN1 1ND
