SQL_ApplicationId,SQL_ApplicationReference,SQL_BrokerId,SQL_MemberId,SQL_MemberReference,SQL_MemberName,SQL_Discriminator,SQL_EmailAddress,SQL_PolicyStartDate,SQL_PolicyEndDate,SQL_IsRenewalApplication
76186,1044655,780,44906,73330,Fingers Crossed,Policy,Janie.Welsh@shipownersclub.com,2021-03-25 12:00:00 +00:00,2022-03-25 12:00:00 +00:00,false
76185,1044655,780,44906,73330,Fingers Crossed,Quote,Janie.Welsh@shipownersclub.com,2021-03-25 12:00:00 +00:00,2022-03-25 12:00:00 +00:00,false
76183,1044653,882,44864,73288,AMP Test Broker,Quote,Janie.Welsh@shipownersclub.com,2021-03-18 12:00:00 +00:00,2022-03-18 12:00:00 +00:00,false
76182,1044652,780,31227,50700,Eleven Yachting Limited,Quote,Nicola.Kingman@shipownersclub.com,2021-03-16 12:00:00 +00:00,2022-03-16 12:00:00 +00:00,false
76181,1044651,639,26622,12362,Manuel De Olim Cc,Policy,Mark.Greenland@shipownersclub.com,2021-02-20 12:00:00 +00:00,2022-02-20 12:00:00 +00:00,false
76179,1044650,882,44905,73329,Rohit Singh,Quote,Janie.Welsh@shipownersclub.com,2021-02-22 12:00:00 +00:00,2030-02-28 12:00:00 +00:00,false
76178,1044649,780,31227,50700,Eleven Yachting Limited,Quote,Nicola.Kingman@shipownersclub.com,2021-02-18 12:00:00 +00:00,2022-02-18 12:00:00 +00:00,false
76177,1044648,780,44904,73328,Test3Member Variation1,Policy,Janie.Welsh@shipownersclub.com,2021-04-01 12:00:00 +00:00,2022-04-01 12:00:00 +00:00,false
76175,1044647,780,44904,73328,Test3Member Variation1,Quote,Janie.Welsh@shipownersclub.com,2021-01-01 12:00:00 +00:00,2022-01-01 12:00:00 +00:00,false
76174,1044646,780,44904,73328,Test3Member Variation1,Policy,Janie.Welsh@shipownersclub.com,2020-11-08 12:00:00 +00:00,2021-04-01 12:00:00 +00:00,false
76173,1044646,780,44904,73328,Test3Member Variation1,Quote,Janie.Welsh@shipownersclub.com,2020-11-08 12:00:00 +00:00,2021-04-01 12:00:00 +00:00,false
76172,1044645,780,44903,73327,Test2Member Altered,Policy,Janie.Welsh@shipownersclub.com,2022-02-01 12:00:00 +00:00,2023-02-01 12:00:00 +00:00,false
76169,1044644,780,44903,73327,Test2Member Altered,Quote,Janie.Welsh@shipownersclub.com,2021-03-01 12:00:00 +00:00,2022-03-01 12:00:00 +00:00,false
76168,1044643,780,44903,73327,Test2Member Altered,Policy,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
76167,1044643,780,44903,73327,Test2Member Altered,Quote,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
76166,1044642,780,44902,73326,Test1Member Updated,Policy,Janie.Welsh@shipownersclub.com,2021-12-01 12:00:00 +00:00,2022-12-01 12:00:00 +00:00,false
76164,1044641,780,44902,73326,Test1Member Updated,Quote,Janie.Welsh@shipownersclub.com,2021-01-01 12:00:00 +00:00,2022-01-01 12:00:00 +00:00,false
76163,1044640,780,44902,73326,Test1Member Updated,Policy,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,false
76162,1044640,780,44902,73326,Test1Member Updated,Quote,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,false
76161,1044636,780,44900,73324,Member For1044636,Policy,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
76160,1044635,780,44899,73323,Member For1044635,Policy,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
76159,1044634,780,44898,73322,Member For1044634,Policy,Janie.Welsh@shipownersclub.com,2021-01-01 12:00:00 +00:00,2022-01-01 12:00:00 +00:00,false
76158,1044633,780,44897,73321,Member For1044633,Policy,Janie.Welsh@shipownersclub.com,2021-01-01 12:00:00 +00:00,2022-01-01 12:00:00 +00:00,false
76157,1044639,780,44901,73325,Member for PartyCheck,Policy,Janie.Welsh@shipownersclub.com,2021-01-19 12:00:00 +00:00,2022-01-19 12:00:00 +00:00,false
76155,1044638,780,44901,73325,Member for PartyCheck,Policy,Janie.Welsh@shipownersclub.com,2020-10-21 12:00:00 +00:00,2021-01-19 12:00:00 +00:00,false
76154,1044638,780,44901,73325,Member for PartyCheck,Quote,Janie.Welsh@shipownersclub.com,2020-10-21 12:00:00 +00:00,2021-01-19 12:00:00 +00:00,false
76150,1044606,780,44888,73312,Member For155071,Policy,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,false
76149,1044636,780,44900,73324,Member For1044636,Quote,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
76148,1044635,780,44899,73323,Member For1044635,Quote,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
76147,1044634,780,44898,73322,Member For1044634,Quote,Janie.Welsh@shipownersclub.com,2021-01-01 12:00:00 +00:00,2022-01-01 12:00:00 +00:00,false
76146,1044633,780,44897,73321,Member For1044633,Quote,Janie.Welsh@shipownersclub.com,2021-01-01 12:00:00 +00:00,2022-01-01 12:00:00 +00:00,false
76145,1044632,780,44896,73320,NewMember For1044632,Policy,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
76144,1044632,780,44896,73320,NewMember For1044632,Quote,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
76143,1044631,780,44889,73313,Member For1044613,Policy,Janie.Welsh@shipownersclub.com,2021-11-01 12:00:00 +00:00,2022-11-01 12:00:00 +00:00,false
76141,1044630,780,44895,73319,RevisedMember Name1044630,Policy,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,false
76140,1044630,780,44895,73319,RevisedMember Name1044630,Quote,Janie.Welsh@shipownersclub.com,2020-12-01 12:00:00 +00:00,2021-12-01 12:00:00 +00:00,false
76139,1044629,780,44891,73315,Member For1044615,Policy,Janie.Welsh@shipownersclub.com,2021-11-01 12:00:00 +00:00,2022-11-01 12:00:00 +00:00,false
76137,1044628,780,44894,73318,Updated Member Name,Policy,Janie.Welsh@shipownersclub.com,2020-10-10 12:00:00 +00:00,2021-01-01 12:00:00 +00:00,false
76136,1044628,780,44894,73318,Updated Member Name,Quote,Janie.Welsh@shipownersclub.com,2020-10-10 12:00:00 +00:00,2021-01-01 12:00:00 +00:00,false
76135,1044627,780,44893,73317,MemberFor RenewalOne,Policy,Janie.Welsh@shipownersclub.com,2021-11-01 12:00:00 +00:00,2022-11-01 12:00:00 +00:00,false
76134,1044626,780,44893,73317,MemberFor RenewalOne,Policy,Janie.Welsh@shipownersclub.com,2021-11-01 12:00:00 +00:00,2022-11-01 12:00:00 +00:00,false
76127,1044623,780,44893,73317,MemberFor RenewalOne,Policy,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76126,1044623,780,44893,73317,MemberFor RenewalOne,Quote,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76125,1044622,780,44893,73317,MemberFor RenewalOne,Policy,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76124,1044622,780,44893,73317,MemberFor RenewalOne,Quote,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76123,1044621,780,44893,73317,MemberFor RenewalOne,Policy,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76122,1044621,780,44893,73317,MemberFor RenewalOne,Quote,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76121,1044620,780,44893,73317,MemberFor RenewalOne,Policy,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76120,1044620,780,44893,73317,MemberFor RenewalOne,Quote,Janie.Welsh@shipownersclub.com,2020-11-01 12:00:00 +00:00,2021-11-01 12:00:00 +00:00,false
76119,1044619,780,44892,73316,Member For1044616 ,Policy,Janie.Welsh@shipownersclub.com,2021-02-01 12:00:00 +00:00,2022-02-01 12:00:00 +00:00,false
