SQL_ApplicationRiskId,SQL_Id,SQL_RiskReference,SQL_MemberId,SQL_MemberReference,SQL_MemberName,SQL_ApplicationId,SQL_ApplicationReference,SQL_ApplicationType,SQL_EmailAddress,SQL_VesselId,SQL_ImoNumber,SQL_VesselName,SQL_VesselType,SQL_CallSign,SQL_GrossTonnage,SQL_YearBuilt,SQL_FlagCountryCode,SQL_FlagCountryName,SQL_PortOfRegistryCode,SQL_PortOfRegistryName,SQL_RiskCategoryName,SQL_EngineHorsePower,SQL_TrademarkEngineModelNumber
150831,94204,73242,26622,12362,Manuel De Olim Cc,76181,1044651,Policy,Mark.Greenland@shipownersclub.com,94204,6547440,Alpha,SEINING,THIS IS NEW,99,1973,ZAF,SOUTH AFRICA,CAP,CAPE TOWN,FISHING VESSELS,null,null
150830,94203,59940,26622,12362,Manuel De Olim Cc,76181,1044651,Policy,Mark.Greenland@shipownersclub.com,94203,7276969,Swordfish,LONG LINES,Imma New Sign,77,1981,ZAF,SOUTH AFRICA,DUR,DURBAN,FISHING VESSELS,null,null
150827,130181,682639,44905,73329,Rohit Singh,76179,1044650,Quote,Janie.Welsh@shipownersclub.com,130181,null,RohitRisk,FISH FARM VESSELS,12313,200,2021,ATA,ANTARCTICA,AAB,AABENRAA,FISHING VESSELS,null,null
150826,130179,682637,44904,73328,Test3Member Variation1,76177,1044648,Policy,Janie.Welsh@shipownersclub.com,130179,3453466,Test3Policy Risk,YACHT CHARTER 13+ PAX,f56,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150824,130180,682638,44904,73328,Test3Member Variation1,76175,1044647,Quote,Janie.Welsh@shipownersclub.com,130180,6565533,QuoteTest3 Risk,YACHT CHARTER 13+ PAX,dfg54,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150823,130179,682637,44904,73328,Test3Member Variation1,76174,1044646,Policy,Janie.Welsh@shipownersclub.com,130179,3453466,Test3Policy Risk,YACHT CHARTER 13+ PAX,f56,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150822,130179,682637,44904,73328,Test3Member Variation1,76173,1044646,Quote,Janie.Welsh@shipownersclub.com,130179,3453466,Test3Policy Risk,YACHT CHARTER 13+ PAX,f56,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150821,130177,682635,44903,73327,Test2Member Altered,76172,1044645,Policy,Janie.Welsh@shipownersclub.com,130177,4565541,Riskfor Test2,YACHT CHARTER 13+ PAX,gf54,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150818,130178,682636,44903,73327,Test2Member Altered,76169,1044644,Quote,Janie.Welsh@shipownersclub.com,130178,7657565,Test2Quote Risk,YACHT CHARTER 13+ PAX,gch45,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150817,130177,682635,44903,73327,Test2Member Altered,76168,1044643,Policy,Janie.Welsh@shipownersclub.com,130177,4565541,Riskfor Test2,YACHT CHARTER 13+ PAX,gf54,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150816,130177,682635,44903,73327,Test2Member Altered,76167,1044643,Quote,Janie.Welsh@shipownersclub.com,130177,4565541,Riskfor Test2,YACHT CHARTER 13+ PAX,gf54,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150815,130176,682634,44902,73326,Test1Member Updated,76166,1044642,Policy,Janie.Welsh@shipownersclub.com,130176,5435339,Test1 Policy1Risk,YACHT CHARTER 13+ PAX,6467tryhrt,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150813,130176,682634,44902,73326,Test1Member Updated,76163,1044640,Policy,Janie.Welsh@shipownersclub.com,130176,5435339,Test1 Policy1Risk,YACHT CHARTER 13+ PAX,6467tryhrt,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150812,130176,682634,44902,73326,Test1Member Updated,76162,1044640,Quote,Janie.Welsh@shipownersclub.com,130176,5435339,Test1 Policy1Risk,YACHT CHARTER 13+ PAX,6467tryhrt,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150811,130174,682632,44900,73324,Member For1044636,76161,1044636,Policy,Janie.Welsh@shipownersclub.com,130174,5767079,Risk For1044636,YACHT CHARTER 13+ PAX,jhvhj,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150810,130173,682631,44899,73323,Member For1044635,76160,1044635,Policy,Janie.Welsh@shipownersclub.com,130173,7587590,Risk For1044635,YACHT CHARTER 13+ PAX,gjj,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150809,130172,682630,44898,73322,Member For1044634,76159,1044634,Policy,Janie.Welsh@shipownersclub.com,130172,6757863,Risk For1044634,YACHT CHARTER 13+ PAX,jh,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150808,130171,682629,44897,73321,Member For1044633,76158,1044633,Policy,Janie.Welsh@shipownersclub.com,130171,7987697,Rsk For1044633,YACHT CHARTER 13+ PAX,fgf,2500,2012,ITA,ITALY,GEN,GENOA,YACHTS,null,null
150807,130175,682633,44901,73325,Member for PartyCheck,76157,1044639,Policy,Janie.Welsh@shipownersclub.com,130175,6458716,RiskFor Party,YACHT CHARTER 13+ PAX,gy,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150805,130175,682633,44901,73325,Member for PartyCheck,76155,1044638,Policy,Janie.Welsh@shipownersclub.com,130175,6458716,RiskFor Party,YACHT CHARTER 13+ PAX,gy,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150804,130175,682633,44901,73325,Member for PartyCheck,76154,1044638,Quote,Janie.Welsh@shipownersclub.com,130175,6458716,RiskFor Party,YACHT CHARTER 13+ PAX,gy,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150797,130140,682598,44888,73312,Member For155071,76150,1044606,Policy,Janie.Welsh@shipownersclub.com,130140,null,Risk 2 1044606,YACHT CHARTER 13+ PAX,null,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150796,130139,682597,44888,73312,Member For155071,76150,1044606,Policy,Janie.Welsh@shipownersclub.com,130139,null,Risk 1 1044606,YACHT CHARTER 13+ PAX,null,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150795,130174,682632,44900,73324,Member For1044636,76149,1044636,Quote,Janie.Welsh@shipownersclub.com,130174,5767079,Risk For1044636,YACHT CHARTER 13+ PAX,jhvhj,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150794,130173,682631,44899,73323,Member For1044635,76148,1044635,Quote,Janie.Welsh@shipownersclub.com,130173,7587590,Risk For1044635,YACHT CHARTER 13+ PAX,gjj,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150793,130172,682630,44898,73322,Member For1044634,76147,1044634,Quote,Janie.Welsh@shipownersclub.com,130172,6757863,Risk For1044634,YACHT CHARTER 13+ PAX,jh,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150792,130171,682629,44897,73321,Member For1044633,76146,1044633,Quote,Janie.Welsh@shipownersclub.com,130171,7987697,Rsk For1044633,YACHT CHARTER 13+ PAX,fgf,2500,2012,ITA,ITALY,GEN,GENOA,YACHTS,null,null
150791,130170,682628,44896,73320,NewMember For1044632,76145,1044632,Policy,Janie.Welsh@shipownersclub.com,130170,9790086,Any NewVessel,YACHT CHARTER 13+ PAX,67678,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150790,130170,682628,44896,73320,NewMember For1044632,76144,1044632,Quote,Janie.Welsh@shipownersclub.com,130170,9790086,Any NewVessel,YACHT CHARTER 13+ PAX,67678,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150789,130150,682608,44889,73313,Member For1044613,76143,1044631,Policy,Janie.Welsh@shipownersclub.com,130150,3465457,Moribund the Burgermeister,YACHT CHARTER 13+ PAX,ddd,2000,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150788,130151,682609,44889,73313,Member For1044613,76143,1044631,Policy,Janie.Welsh@shipownersclub.com,130151,7835636,Major Tom,YACHT CHARTER 13+ PAX,eee,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150785,130169,682627,44895,73319,RevisedMember Name1044630,76141,1044630,Policy,Janie.Welsh@shipownersclub.com,130169,5475676,Risk 2 Name1044630,YACHT CHARTER 13+ PAX,uuu,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150784,130168,682626,44895,73319,RevisedMember Name1044630,76141,1044630,Policy,Janie.Welsh@shipownersclub.com,130168,2353243,Risk 1 Name1044630,YACHT CHARTER 13+ PAX,ttt,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150783,130169,682627,44895,73319,RevisedMember Name1044630,76140,1044630,Quote,Janie.Welsh@shipownersclub.com,130169,5475676,Risk 2 Name1044630,YACHT CHARTER 13+ PAX,uuu,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150782,130168,682626,44895,73319,RevisedMember Name1044630,76140,1044630,Quote,Janie.Welsh@shipownersclub.com,130168,2353243,Risk 1 Name1044630,YACHT CHARTER 13+ PAX,ttt,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150781,130153,682611,44891,73315,Member For1044615,76139,1044629,Policy,Janie.Welsh@shipownersclub.com,130153,4643537,Risk 1 1044615,YACHT CHARTER 13+ PAX,ggg,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150779,130167,682625,44894,73318,Updated Member Name,76137,1044628,Policy,Janie.Welsh@shipownersclub.com,130167,2354089,Risk 2 For1044628,YACHT CHARTER 13+ PAX,uuu,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150778,130166,682624,44894,73318,Updated Member Name,76137,1044628,Policy,Janie.Welsh@shipownersclub.com,130166,3454355,Risk 1 For1044628,YACHT CHARTER 13+ PAX,ttt,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150777,130167,682625,44894,73318,Updated Member Name,76136,1044628,Quote,Janie.Welsh@shipownersclub.com,130167,2354089,Risk 2 For1044628,YACHT CHARTER 13+ PAX,uuu,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150776,130166,682624,44894,73318,Updated Member Name,76136,1044628,Quote,Janie.Welsh@shipownersclub.com,130166,3454355,Risk 1 For1044628,YACHT CHARTER 13+ PAX,ttt,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150775,130161,682619,44893,73317,MemberFor RenewalOne,76135,1044627,Policy,Janie.Welsh@shipownersclub.com,130161,2432415,Risk 2 For1044620,YACHT CHARTER 13+ PAX,ooo,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150774,130160,682618,44893,73317,MemberFor RenewalOne,76135,1044627,Policy,Janie.Welsh@shipownersclub.com,130160,2349010,Risk 1 For1044620,YACHT CHARTER 13+ PAX,nnn,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150773,130163,682621,44893,73317,MemberFor RenewalOne,76134,1044626,Policy,Janie.Welsh@shipownersclub.com,130163,3458923,Risk 2 For1044621,YACHT CHARTER 13+ PAX,qqq,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150772,130162,682620,44893,73317,MemberFor RenewalOne,76134,1044626,Policy,Janie.Welsh@shipownersclub.com,130162,3458727,Risk 1 For1044621,YACHT CHARTER 13+ PAX,ppp,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150761,130165,682623,44893,73317,MemberFor RenewalOne,76127,1044623,Policy,Janie.Welsh@shipownersclub.com,130165,2342933,Risk 1 For1044623,YACHT CHARTER 13+ PAX,sss,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150760,130165,682623,44893,73317,MemberFor RenewalOne,76126,1044623,Quote,Janie.Welsh@shipownersclub.com,130165,2342933,Risk 1 For1044623,YACHT CHARTER 13+ PAX,sss,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150759,130164,682622,44893,73317,MemberFor RenewalOne,76125,1044622,Policy,Janie.Welsh@shipownersclub.com,130164,2342323,Risk 1 For1044622,YACHT CHARTER 13+ PAX,rrr,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150758,130164,682622,44893,73317,MemberFor RenewalOne,76124,1044622,Quote,Janie.Welsh@shipownersclub.com,130164,2342323,Risk 1 For1044622,YACHT CHARTER 13+ PAX,rrr,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150757,130163,682621,44893,73317,MemberFor RenewalOne,76123,1044621,Policy,Janie.Welsh@shipownersclub.com,130163,3458923,Risk 2 For1044621,YACHT CHARTER 13+ PAX,qqq,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150756,130162,682620,44893,73317,MemberFor RenewalOne,76123,1044621,Policy,Janie.Welsh@shipownersclub.com,130162,3458727,Risk 1 For1044621,YACHT CHARTER 13+ PAX,ppp,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150755,130163,682621,44893,73317,MemberFor RenewalOne,76122,1044621,Quote,Janie.Welsh@shipownersclub.com,130163,3458923,Risk 2 For1044621,YACHT CHARTER 13+ PAX,qqq,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150754,130162,682620,44893,73317,MemberFor RenewalOne,76122,1044621,Quote,Janie.Welsh@shipownersclub.com,130162,3458727,Risk 1 For1044621,YACHT CHARTER 13+ PAX,ppp,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150753,130161,682619,44893,73317,MemberFor RenewalOne,76121,1044620,Policy,Janie.Welsh@shipownersclub.com,130161,2432415,Risk 2 For1044620,YACHT CHARTER 13+ PAX,ooo,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150752,130160,682618,44893,73317,MemberFor RenewalOne,76121,1044620,Policy,Janie.Welsh@shipownersclub.com,130160,2349010,Risk 1 For1044620,YACHT CHARTER 13+ PAX,nnn,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
150751,130161,682619,44893,73317,MemberFor RenewalOne,76120,1044620,Quote,Janie.Welsh@shipownersclub.com,130161,2432415,Risk 2 For1044620,YACHT CHARTER 13+ PAX,ooo,2500,2012,IRL,IRELAND REPUBLIC OF,COR,CORK,YACHTS,null,null
150750,130160,682618,44893,73317,MemberFor RenewalOne,76120,1044620,Quote,Janie.Welsh@shipownersclub.com,130160,2349010,Risk 1 For1044620,YACHT CHARTER 13+ PAX,nnn,2500,2012,ITA,ITALY,TRE,TRIESTE,YACHTS,null,null
