SQL_MemberId,SQL_MemberReference,SQL_PartyId,SQL_CrmIdentifier,SQL_OrganisationName,SQL_Salutation,SQL_FirstName,SQL_MiddleName,SQL_LastName,SQL_EmailAddress,SQL_Telephone,SQL_Fax,SQL_AddressId,SQL_AddressName,SQL_Line1,SQL_Line2,SQL_Line3,SQL_City,SQL_StateOrProvince,SQL_CountryName,SQL_Postcode
44905,73329,112674,540D228F-F0CF-4F16-A478-95D6EE9156F7,ROHIT SINGH,null,null,null,null,null,null,null,113089,TEST1,null,null,null,SYDN,null,AUSTRALIA,NULL
44904,73328,112673,CEAD2B70-7A02-4A4C-BB55-058203B848E0,TEST3MEMBER VARIATION1,null,null,null,null,null,null,null,113088,TEST3MEMBER CREATED ADDNAME,TEST3MEMBER CREATED L1,TEST3MEMBER CREATED L2,null,BIRMINGHAM,Alabama,UNITED STATES OF AMERICA,54734
44903,73327,112672,6A2DEC72-100C-4FFB-A57C-6D1D3F6B5E4F,TEST2MEMBER ALTERED,null,null,null,null,null,null,null,113087,TEST2MEMBER CREATED ADDNAME,TEST2MEMBER CREATED L1,TEST2MEMBER CREATED L2,null,BIRMINGHAM,Alabama,UNITED STATES OF AMERICA,345443
44902,73326,112671,2CC631CD-630C-4184-89BB-E8FC62CAA581,TEST1MEMBER UPDATED,null,null,null,null,null,null,null,113086,TEST1MEMBER CREATED ADDNAME,TEST1MEMBER CREATED L1,TEST1MEMBER CREATED L2,null,BIRMINGHAM,Alabama,UNITED STATES OF AMERICA,35342
44901,73325,112668,32C9A59E-CCD5-4128-BC64-32F7556EE12A,MEMBER FOR PARTYCHECK,null,null,null,null,null,null,null,113083,MEMBER FOR PARTYCHECK ADDNAME,MEMBER FOR PARTYCHECK L1,MEMBER FOR PARTYCHECK L2,null,BIRMINGHAM,Alabama,UNITED STATES OF AMERICA,866878
44900,73324,112665,ED5BD587-8C9F-48B4-B67B-0BA96914A6F9,MEMBER FOR1044636,null,null,null,null,null,null,null,113080,MEMBER FOR1044636 ADD NAME,MEMBER FOR1044636 L1,MEMBER FOR1044636 L2,null,BIRMINGHAM,alabama,UNITED STATES OF AMERICA,87689
44899,73323,112662,CD47BC76-1925-4344-B373-01000D5FDEF5,MEMBER FOR1044635,null,null,null,null,null,null,null,113077,MEMBER FOR1044635 ADD NAME,MEMBER FOR1044635 L1,MEMBER FOR1044635 L2,null,BIRMINGHAM,Alabama,UNITED STATES OF AMERICA,8787
44898,73322,112659,E2970BF6-306B-4FB2-994E-5703C5F4C045,MEMBER FOR1044634,null,null,null,null,null,null,null,113074,MEMBER FOR1044634 ADD NAME,MEMBER FOR1044634 L1,MEMBER FOR1044634 L2,null,BIRMINGHAM,Alabama,UNITED STATES OF AMERICA,B37 7HG
44897,73321,112656,7BB66BEA-E484-425F-93E0-CD85F75E7E80,MEMBER FOR1044633,null,null,null,null,null,null,null,113071,MEMBER FOR1044633 ADD NAME,MEMBER FOR1044633 L1,MEMBER FOR1044633 L2,null,BIRMINGHAM,Alabama,UNITED STATES OF AMERICA,75778
44896,73320,112655,D2699843-2A67-4E29-984C-1DB4D429497A,NEWMEMBER FOR1044632,null,null,null,null,null,null,null,113070,NEWMEMBER FOR1044632 ADD NAME,NEWMEMBER FOR1044632 L1,NEWMEMBER FOR1044632 L2,null,BIRMINGHAM,Alabama,UNITED STATES OF AMERICA,632743
