SQL_MemberId,SQL_MemberReference,SQL_Domicile,SQL_Party_Id,SQL_CrmIdentifier,SQL_OrganisationName,SQL_Salutation,SQL_FirstName,SQL_MiddleName,SQL_LastName,SQL_Name,SQL_SearchName,SQL_EmailAddress,SQL_Telephone,SQL_Fax,SQL_AddressID,SQL_AddressName,SQL_Line1,SQL_Line2,SQL_Line3,SQL_City,SQL_StateOrProvince,SQL_Country,SQL_Postcode
44905,73329,AUS,112674,540D228F-F0CF-4F16-A478-95D6EE9156F7,Rohit Singh,null,null,null,null,Rohit Singh,Rohit Singh,null,null,null,113089,Rohit Singh,null,null,null,sydn,null,AUSTRALIA,null
44904,73328,USA,112673,CEAD2B70-7A02-4A4C-BB55-058203B848E0,Test3Member Variation1,null,null,null,null,Test3Member Variation1,Test3Member Variation1,null,null,null,113088,Test3Member Variation1,Test3Member Created L1,Test3Member Created L2,null,Birmingham,Alabama,UNITED STATES OF AMERICA,54734
44903,73327,USA,112672,6A2DEC72-100C-4FFB-A57C-6D1D3F6B5E4F,Test2Member Altered,null,null,null,null,Test2Member Altered,Test2Member Altered,null,null,null,113087,Test2Member Altered,Test2Member Created L1,Test2Member Created L2,null,Birmingham,Alabama,UNITED STATES OF AMERICA,345443
44902,73326,USA,112671,2CC631CD-630C-4184-89BB-E8FC62CAA581,Test1Member Updated,null,null,null,null,Test1Member Updated,Test1Member Updated,null,null,null,113086,Test1Member Updated,Test1Member Created L1,Test1Member Created L2,null,Birmingham,Alabama,UNITED STATES OF AMERICA,35342
44901,73325,USA,112668,32C9A59E-CCD5-4128-BC64-32F7556EE12A,Member for PartyCheck,null,null,null,null,Member for PartyCheck,Member for PartyCheck,null,null,null,113083,Member for PartyCheck,Member for PartyCheck L1,Member for PartyCheck L2,null,Birmingham,Alabama,UNITED STATES OF AMERICA,866878
44900,73324,USA,112665,ED5BD587-8C9F-48B4-B67B-0BA96914A6F9,Member For1044636,null,null,null,null,Member For1044636,Member For1044636,null,null,null,113080,Member For1044636,Member For1044636 l1,Member For1044636 l2,null,birmingham,alabama,UNITED STATES OF AMERICA,87689
44899,73323,USA,112662,CD47BC76-1925-4344-B373-01000D5FDEF5,Member For1044635,null,null,null,null,Member For1044635,Member For1044635,null,null,null,113077,Member For1044635,Member For1044635 l1,Member For1044635 l2,null,Birmingham,Alabama,UNITED STATES OF AMERICA,8787
44898,73322,USA,112659,E2970BF6-306B-4FB2-994E-5703C5F4C045,Member For1044634,null,null,null,null,Member For1044634,Member For1044634,null,null,null,113074,Member For1044634,Member For1044634 l1,Member For1044634 l2,null,Birmingham,Alabama,UNITED STATES OF AMERICA,b37 7hg
44897,73321,USA,112656,7BB66BEA-E484-425F-93E0-CD85F75E7E80,Member For1044633,null,null,null,null,Member For1044633,Member For1044633,null,null,null,113071,Member For1044633,Member For1044633 L1,Member For1044633 L2,null,Birmingham,Alabama,UNITED STATES OF AMERICA,75778
44896,73320,USA,112655,D2699843-2A67-4E29-984C-1DB4D429497A,NewMember For1044632,null,null,null,null,NewMember For1044632,NewMember For1044632,null,null,null,113070,NewMember For1044632,NewMember For1044632 L1,NewMember For1044632 L2,null,Birmingham,Alabama,UNITED STATES OF AMERICA,632743
44895,73319,USA,112654,FD951E27-7E32-4A5B-8E56-78B4EA459007,RevisedMember Name1044630,null,null,null,null,RevisedMember Name1044630,RevisedMember Name1044630,null,null,null,113069,RevisedMember Name1044630,StartMember Name1044630 L1,StartMember Name1044630 L2,null,Birmingham,Alabama,UNITED STATES OF AMERICA,2134342
44894,73318,GBR,112652,6E0367F3-6D15-4687-94C3-D7771E456BCC,Updated Member Name,null,null,null,null,Updated Member Name,Updated Member Name,null,null,null,113067,Updated Member Name,Member ForMTARenewals L1,Member ForMTARenewals L2,null,Birmingham,null,UNITED KINGDOM,B37 7HG
44893,73317,GBR,112649,3BAD2FF4-2870-441B-B986-6242C959E930,MemberFor RenewalOne,null,null,null,null,MemberFor RenewalOne,MemberFor RenewalOne,null,null,null,113064,MemberFor RenewalOne,MemberFor RenewalOne L1,MemberFor RenewalOne L2,null,Birmingham,null,UNITED KINGDOM,B37 7HG
44892,73316,GBR,112645,5271874F-2CCC-41B0-B735-DEB5F7E5E4DE,Member For1044616 ,null,null,null,null,Member For1044616 ,Member For1044616 ,null,null,null,113060,Member For1044616 ,Member For1044616 L1,Member For1044616 L2,null,Birmingham,null,UNITED KINGDOM,B37 7HG
