SQL_ApplicationId,SQL_Party_Id,SQL_PartyRoleTypeName,SQL_AccociatedPartyId,SQL_CrmIdentifier,SQL_OrganisationName,SQL_Salutation,SQL_FirstName,SQL_MiddleName,SQL_LastName,SQL_Name,SQL_SearchName,SQL_EmailAddress,SQL_Telephone,SQL_Fax,SQL_Address_Id,SQL_AddressName,SQL_Line1,SQL_Line2,SQL_Line3,SQL_City,SQL_StateOrProvince,SQL_Country,SQL_Postcode
76179,50438,Joint Assured,191380,D03248BF-4DE7-41A2-A731-EE48525E401E,A Testar,null,null,null,null,A Testar,A Testar,null,null,null,35886,null,null,null,null,null,null,null,null
76161,112667,Joint Assured,191378,C72D1082-1765-48AE-BCCB-6AF1D9D9CE31,Joint For1044636,null,null,null,null,Joint For1044636,Joint For1044636,null,null,null,113082,Joint For1044636 Add name,Joint For1044636 L1,Joint For1044636 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76161,112666,Mortgagee,191377,BC9098F8-5623-4BFE-8572-29DF3188A812,Mortgagee For1044636,null,null,null,null,Mortgagee For1044636,Mortgagee For1044636,null,null,null,113081,Mortgagee For1044636 Add name,Mortgagee For1044636 l1,Mortgagee For1044636 l2,null,Bham,null,UNITED KINGDOM,B37 7HG
76160,112664,Joint Assured,191376,5287E2D1-667D-4237-8F7D-55056471909F,Joint For1044635,null,null,null,null,Joint For1044635,Joint For1044635,null,null,null,113079,Joint For1044635 add name,Joint For1044635 l1,Joint For1044635l2,null,bham,null,UNITED KINGDOM,b37 7hg
76160,112663,Mortgagee,191375,624347BD-5EB6-4374-92D0-1F4B2A07F354,Mortgagee For1044635,null,null,null,null,Mortgagee For1044635,Mortgagee For1044635,null,null,null,113078,Mortgagee For1044635 add name,Mortgagee For1044635 l1,Mortgagee For1044635 l2,null,bham,null,UNITED KINGDOM,b37 7hg
76159,112661,Joint Assured,191374,DBB9C31A-AA3A-46BC-935F-D7DD2913968A,Joint For1044634,null,null,null,null,Joint For1044634,Joint For1044634,null,null,null,113076,Joint For1044634 add name,Joint For1044634 l1,Joint For1044634 l2,null,bham,null,UNITED KINGDOM,b37 7hg
76159,112660,Joint Assured,191373,7E6F4E97-E2BD-44E8-84A3-D2702E9C8A15,Mortgagee For1044634,null,null,null,null,Mortgagee For1044634,Mortgagee For1044634,null,null,null,113075,Mortgagee For1044634 add name,Mortgagee For1044634 L1,Mortgagee For1044634 l2,null,bham,null,UNITED KINGDOM,b37 7hg
76158,112670,Crew Manager,191379,EABCC666-5B61-414A-A000-BD7580054469,Add NewCrewManager,null,null,null,null,Add NewCrewManager,Add NewCrewManager,null,null,null,113085,Add NewCrewManager Add Name,Add NewCrewManager L1,Add NewCrewManager L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
76158,112657,InterestedParty,191372,A4D83381-6683-485E-898B-7858C43F7FF8,Mortgagee For1044633,null,null,null,null,Mortgagee For1044633,Mortgagee For1044633,null,null,null,113072,Party For1044633  Add Name,Party For1044633 l1,Party For1044633 l2,null,bham,null,UNITED KINGDOM,b37 7hg
76158,112658,Joint Assured,191371,CE755349-AA88-412B-86AC-864A5B469995,Revised Joint For1044633 ,null,null,null,null,Revised Joint For1044633 ,Revised Joint For1044633 ,null,null,null,113073,Joint For1044633  Add Name,Joint For1044633 L1,Joint For1044633 L2,null,bham,null,UNITED KINGDOM,b37 7hg
76157,112669,Mortgagee,191369,2EF7D6D9-D333-4DDC-810C-7F51ADEB7AD3,FutureChange Party,null,null,null,null,FutureChange Party,FutureChange Party,null,null,null,113084,OriginalName Party AddName,OriginalName Party L1,OriginalName Party L2,null,BHam,null,UNITED KINGDOM,B37 7HG
76156,112669,Mortgagee,191368,2EF7D6D9-D333-4DDC-810C-7F51ADEB7AD3,FutureChange Party,null,null,null,null,FutureChange Party,FutureChange Party,null,null,null,113084,OriginalName Party AddName,OriginalName Party L1,OriginalName Party L2,null,BHam,null,UNITED KINGDOM,B37 7HG
76155,112669,Mortgagee,191367,2EF7D6D9-D333-4DDC-810C-7F51ADEB7AD3,FutureChange Party,null,null,null,null,FutureChange Party,FutureChange Party,null,null,null,113084,OriginalName Party AddName,OriginalName Party L1,OriginalName Party L2,null,BHam,null,UNITED KINGDOM,B37 7HG
76154,112669,Mortgagee,191366,2EF7D6D9-D333-4DDC-810C-7F51ADEB7AD3,FutureChange Party,null,null,null,null,FutureChange Party,FutureChange Party,null,null,null,113084,OriginalName Party AddName,OriginalName Party L1,OriginalName Party L2,null,BHam,null,UNITED KINGDOM,B37 7HG
76151,112636,Joint Assured,191361,AEBE0218-CE6A-4CE0-8D0F-F91D1E3163CD,Party 2 1044606,null,null,null,null,Party 2 1044606,Party 2 1044606,null,null,null,113051,Party 2 1044606 AddName,Party 2 1044606 L1,Party 2 1044606 L2,null,Birmingham,null,UNITED KINGDOM,B37 7HG
76151,112635,Mortgagee,191360,9E20BB91-F60B-4435-9785-C1764A604F25,FUTURE 1044606,null,null,null,null,FUTURE 1044606,FUTURE 1044606,aa@ab.com,+44558877559,+44558866223,113050,Party 1 1044606 AddName,Party 1 1044606 L1,Party 1 1044606 L2,Party 1 1044606 L3,Birmingham,Warks,UNITED KINGDOM,B37 7HG
76150,112636,Joint Assured,191359,AEBE0218-CE6A-4CE0-8D0F-F91D1E3163CD,Party 2 1044606,null,null,null,null,Party 2 1044606,Party 2 1044606,null,null,null,113051,Party 2 1044606 AddName,Party 2 1044606 L1,Party 2 1044606 L2,null,Birmingham,null,UNITED KINGDOM,B37 7HG
76150,112635,Mortgagee,191358,9E20BB91-F60B-4435-9785-C1764A604F25,FUTURE 1044606,null,null,null,null,FUTURE 1044606,FUTURE 1044606,aa@ab.com,+44558877559,+44558866223,113050,Party 1 1044606 AddName,Party 1 1044606 L1,Party 1 1044606 L2,Party 1 1044606 L3,Birmingham,Warks,UNITED KINGDOM,B37 7HG
76149,112667,Joint Assured,191357,C72D1082-1765-48AE-BCCB-6AF1D9D9CE31,Joint For1044636,null,null,null,null,Joint For1044636,Joint For1044636,null,null,null,113082,Joint For1044636 Add name,Joint For1044636 L1,Joint For1044636 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
76149,112666,Mortgagee,191356,BC9098F8-5623-4BFE-8572-29DF3188A812,Mortgagee For1044636,null,null,null,null,Mortgagee For1044636,Mortgagee For1044636,null,null,null,113081,Mortgagee For1044636 Add name,Mortgagee For1044636 l1,Mortgagee For1044636 l2,null,Bham,null,UNITED KINGDOM,B37 7HG
76148,112664,Joint Assured,191355,5287E2D1-667D-4237-8F7D-55056471909F,Joint For1044635,null,null,null,null,Joint For1044635,Joint For1044635,null,null,null,113079,Joint For1044635 add name,Joint For1044635 l1,Joint For1044635l2,null,bham,null,UNITED KINGDOM,b37 7hg
76148,112663,Mortgagee,191354,624347BD-5EB6-4374-92D0-1F4B2A07F354,Mortgagee For1044635,null,null,null,null,Mortgagee For1044635,Mortgagee For1044635,null,null,null,113078,Mortgagee For1044635 add name,Mortgagee For1044635 l1,Mortgagee For1044635 l2,null,bham,null,UNITED KINGDOM,b37 7hg
76147,112661,Joint Assured,191353,DBB9C31A-AA3A-46BC-935F-D7DD2913968A,Joint For1044634,null,null,null,null,Joint For1044634,Joint For1044634,null,null,null,113076,Joint For1044634 add name,Joint For1044634 l1,Joint For1044634 l2,null,bham,null,UNITED KINGDOM,b37 7hg
76147,112660,Joint Assured,191352,7E6F4E97-E2BD-44E8-84A3-D2702E9C8A15,Mortgagee For1044634,null,null,null,null,Mortgagee For1044634,Mortgagee For1044634,null,null,null,113075,Mortgagee For1044634 add name,Mortgagee For1044634 L1,Mortgagee For1044634 l2,null,bham,null,UNITED KINGDOM,b37 7hg
