SQL_JointAssuredId,SQL_JointAssuredReference,SQL_ApplicationId,SQL_Party_Id,SQL_PartyRoleTypeName,SQL_CrmIdentifier,SQL_OrganisationName,SQL_Salutation,SQL_FirstName,SQL_MiddleName,SQL_LastName,SQL_Name,SQL_SearchName,SQL_EmailAddress,SQL_Telephone,SQL_Fax,SQL_Address_Id,SQL_AddressName,SQL_Line1,SQL_Line2,SQL_Line3,SQL_City,SQL_StateOrProvince,SQL_Country,SQL_Postcode
41903,503716,76149,112667,Joint Assured,C72D1082-1765-48AE-BCCB-6AF1D9D9CE31,Joint For1044636,null,null,null,null,Joint For1044636,Joint For1044636,null,null,null,113082,Joint For1044636 Add name,Joint For1044636 L1,Joint For1044636 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
41903,503716,76161,112667,Joint Assured,C72D1082-1765-48AE-BCCB-6AF1D9D9CE31,Joint For1044636,null,null,null,null,Joint For1044636,Joint For1044636,null,null,null,113082,Joint For1044636 Add name,Joint For1044636 L1,Joint For1044636 L2,null,BHAM,null,UNITED KINGDOM,B37 7 HG
41902,503715,76148,112664,Joint Assured,5287E2D1-667D-4237-8F7D-55056471909F,Joint For1044635,null,null,null,null,Joint For1044635,Joint For1044635,null,null,null,113079,Joint For1044635 add name,Joint For1044635 l1,Joint For1044635l2,null,bham,null,UNITED KINGDOM,b37 7hg
41902,503715,76160,112664,Joint Assured,5287E2D1-667D-4237-8F7D-55056471909F,Joint For1044635,null,null,null,null,Joint For1044635,Joint For1044635,null,null,null,113079,Joint For1044635 add name,Joint For1044635 l1,Joint For1044635l2,null,bham,null,UNITED KINGDOM,b37 7hg
41901,503714,76147,112661,Joint Assured,DBB9C31A-AA3A-46BC-935F-D7DD2913968A,Joint For1044634,null,null,null,null,Joint For1044634,Joint For1044634,null,null,null,113076,Joint For1044634 add name,Joint For1044634 l1,Joint For1044634 l2,null,bham,null,UNITED KINGDOM,b37 7hg
41901,503714,76159,112661,Joint Assured,DBB9C31A-AA3A-46BC-935F-D7DD2913968A,Joint For1044634,null,null,null,null,Joint For1044634,Joint For1044634,null,null,null,113076,Joint For1044634 add name,Joint For1044634 l1,Joint For1044634 l2,null,bham,null,UNITED KINGDOM,b37 7hg
41900,503713,76147,112660,Joint Assured,7E6F4E97-E2BD-44E8-84A3-D2702E9C8A15,Mortgagee For1044634,null,null,null,null,Mortgagee For1044634,Mortgagee For1044634,null,null,null,113075,Mortgagee For1044634 add name,Mortgagee For1044634 L1,Mortgagee For1044634 l2,null,bham,null,UNITED KINGDOM,b37 7hg
41900,503713,76159,112660,Joint Assured,7E6F4E97-E2BD-44E8-84A3-D2702E9C8A15,Mortgagee For1044634,null,null,null,null,Mortgagee For1044634,Mortgagee For1044634,null,null,null,113075,Mortgagee For1044634 add name,Mortgagee For1044634 L1,Mortgagee For1044634 l2,null,bham,null,UNITED KINGDOM,b37 7hg
41899,503712,76146,112658,Joint Assured,CE755349-AA88-412B-86AC-864A5B469995,Revised Joint For1044633 ,null,null,null,null,Revised Joint For1044633 ,Revised Joint For1044633 ,null,null,null,113073,Joint For1044633  Add Name,Joint For1044633 L1,Joint For1044633 L2,null,bham,null,UNITED KINGDOM,b37 7hg
41899,503712,76158,112658,Joint Assured,CE755349-AA88-412B-86AC-864A5B469995,Revised Joint For1044633 ,null,null,null,null,Revised Joint For1044633 ,Revised Joint For1044633 ,null,null,null,113073,Joint For1044633  Add Name,Joint For1044633 L1,Joint For1044633 L2,null,bham,null,UNITED KINGDOM,b37 7hg
